name,team,number,position,min,goal,assist,yellow,red,shot,pass,aer,mom,rating
Mason Mount,Chelsea,24,M(CLR),2892,6,5,2,0,2.3,0.865,0.6,4,7.33
James Rodríguez,Everton,32,"AM(CLR),FW",1776,6,4,4,0,1.6,0.833,0.3,3,7.21
Dominic Calvert Lewin,Everton,26,"AM(L),FW",2876,16,0,3,0,2.5,0.687,4.7,4,7.17
Lucas Digne,Everton,30,"D(CL),M(L)",2682,0,7,2,1,0.4,0.775,3.1,1,7.08
Kurt Zouma,Chelsea,28,D(CR),2025,5,0,3,0,1.1,0.909,3.6,1,7.07
Antonio Rüdiger,Chelsea,30,D(CLR),1710,1,0,0,0,0.7,0.894,2.2,0,7.02
Ben Chilwell,Chelsea,26,"D(L),M(L)",2290,3,5,3,0,1.0,0.82,1.4,2,7.0
Richarlison,Everton,26,"AM(CLR),FW",2872,7,3,4,1,2.4,0.7,1.2,4,6.98
Reece James,Chelsea,23,"D(CR),DMC,M(R)",2367,1,2,3,0,1.1,0.884,1.3,1,6.94
César Azpilicueta,Chelsea,33,"D(CLR),M(R)",2191,1,2,5,1,0.4,0.8690000000000001,2.1,1,6.92
Michael Keane,Everton,30,D(CR),2990,3,1,4,0,0.5,0.872,3.2,2,6.92
Thiago Silva,Chelsea,38,D(C),1938,2,0,3,1,0.6,0.93,2.0,0,6.91
Marcos Alonso,Chelsea,32,"D(CL),M(L)",960,2,0,2,0,1.7,0.825,1.8,1,6.9
Jorginho,Chelsea,31,DMC,2014,7,1,2,0,0.5,0.892,0.6,4,6.88
Yerry Mina,Everton,28,D(C),1939,2,0,2,0,0.7,0.9009999999999999,2.8,1,6.86
N 39 Golo Kanté,Chelsea,32,M(C),2146,0,2,7,0,0.3,0.865,0.6,1,6.86
Fikayo Tomori,Chelsea,25,D(CR),45,0,0,0,0,0.0,0.966,0.0,0,6.85
Mateo Kovacic,Chelsea,29,M(CL),1820,0,1,4,0,0.9,0.9079999999999999,0.4,2,6.84
João Virgínia,Everton,23,GK,47,0,0,0,0,0.0,0.41700000000000004,0.0,0,6.84
