name,team,number,position,min,goal,assist,yellow,red,shot,pass,aer,mom,rating
Bruno Fernandes,Man Utd,28,M(CLR),3110,18,12,6,0,3.3,0.7829999999999999,0.4,6,7.43
Sadio Mané,Liverpool,31,"AM(CLR),FW",2813,11,7,3,0,2.7,0.787,1.0,7,7.33
Nathaniel Phillips,Liverpool,26,D(C),1456,1,1,2,0,0.9,0.8420000000000001,5.6,3,7.29
Aaron Wan Bissaka,Man Utd,25,"D(R),M(R)",3060,2,4,3,0,0.2,0.8490000000000001,1.1,3,7.15
Marcus Rashford,Man Utd,25,"AM(CLR),FW",2928,11,9,4,0,2.1,0.821,0.7,3,7.13
Thiago Alcântara,Liverpool,32,M(C),1858,1,0,4,0,0.9,0.8959999999999999,1.3,2,7.12
Roberto Firmino,Liverpool,31,"M(CLR),FW",2852,9,7,2,0,2.3,0.807,0.6,4,7.11
Mohamed Salah,Liverpool,31,"AM(CLR),FW",3082,22,5,0,0,3.4,0.8370000000000001,0.5,3,7.07
Paul Pogba,Man Utd,30,M(CL),1896,3,3,3,0,1.2,0.83,2.1,4,7.06
Harry Maguire,Man Utd,30,D(C),3048,2,1,11,0,1.1,0.873,4.0,4,7.04
Luke Shaw,Man Utd,28,"D(CL),M(L)",2657,1,5,8,0,0.3,0.85,1.2,2,7.03
Caoimhín Kelleher,Liverpool,24,GK,180,0,0,0,0,0.0,0.75,0.0,0,7.03
Trent Alexander Arnold,Liverpool,24,"D(R),DMC,M(R)",3033,2,7,2,0,1.5,0.794,0.2,2,7.02
Alex Telles,Man Utd,30,"D(CL),M(L)",692,0,2,0,0,0.6,0.847,1.9,0,6.97
Joël Matip,Liverpool,32,D(C),693,1,2,2,0,0.5,0.877,2.3,1,6.96
Scott McTominay,Man Utd,26,"D(C),DMC",2128,4,1,3,0,0.8,0.87,1.5,0,6.93
Anthony Elanga,Man Utd,21,AM(LR),156,1,0,0,0,1.0,0.755,0.5,1,6.93
Fred,Man Utd,30,M(C),2397,1,0,5,0,0.8,0.877,0.3,0,6.92
Timothy Fosu Mensah,Man Utd,25,D(CR),81,0,0,1,0,1.0,0.909,1.0,0,6.92
Diogo Jota,Liverpool,26,"AM(CLR),FW",1113,9,0,2,0,2.4,0.7490000000000001,0.7,0,6.89
