name,team,number,position,min,goal,assist,yellow,red,shot,pass,aer,mom,rating
Harry Kane,Tottenham,30,"AM(C),FW",3087,23,14,1,0,3.9,0.6990000000000001,2.2,13,7.79
Gareth Bale,Tottenham,34,"M(CLR),FW",923,11,2,1,0,1.9,0.732,1.2,4,7.3
Son Heung Min,Tottenham,31,"M(CLR),FW",3127,17,10,0,0,1.8,0.8340000000000001,0.5,0,7.27
Pedro Neto,Wolves,23,"AM(CLR),FW",2559,5,6,4,0,2.0,0.884,0.6,5,7.11
Adama Traoré,Wolves,27,"M(CLR),FW",2645,2,2,4,0,1.2,0.763,2.0,4,7.11
Sèrge Aurier,Tottenham,30,"D(CLR),M(R)",1609,2,3,0,0,0.8,0.8079999999999999,1.9,0,7.06
Pierre Emile Højbjerg,Tottenham,28,M(C),3420,2,4,9,0,0.4,0.885,1.2,1,6.95
Raúl Jiménez,Wolves,32,FW,825,4,0,0,0,2.6,0.792,1.5,1,6.91
Nélson Semedo,Wolves,29,"D(LR),M(R)",2988,1,1,5,0,0.7,0.81,1.2,1,6.9
Romain Saïss,Wolves,33,"D(C),DMC",2408,3,0,2,0,1.0,0.812,2.6,2,6.87
Tanguy Ndombélé,Tottenham,26,M(C),2108,3,2,3,0,0.5,0.856,0.3,2,6.86
Toby Alderweireld,Tottenham,34,D(CR),2241,1,0,2,0,0.4,0.825,1.8,0,6.86
Rúben Neves,Wolves,26,DMC,2680,5,1,8,0,1.9,0.8440000000000001,0.7,1,6.81
Hugo Lloris,Tottenham,36,GK,3420,0,0,0,0,0.0,0.693,0.2,2,6.75
Willy Boly,Wolves,32,D(C),1880,1,1,2,0,0.7,0.825,2.7,1,6.75
Matt Doherty,Tottenham,31,"D(LR),M(LR)",1239,0,2,2,1,0.2,0.805,2.9,1,6.75
Sergio Reguilón,Tottenham,26,"D(L),M(L)",2249,0,3,5,0,0.7,0.773,1.1,1,6.72
Japhet Tanganga,Tottenham,24,D(CR),489,0,0,2,0,0.3,0.809,2.0,0,6.7
Daniel Podence,Wolves,27,"AM(CLR),FW",1679,3,2,3,0,1.3,0.777,0.3,1,6.68
João Moutinho,Wolves,36,M(C),2534,1,1,3,1,0.4,0.884,0.5,0,6.67
Davinson Sánchez,Tottenham,27,D(C),1487,0,0,1,0,0.3,0.845,2.7,0,6.67
Eric Dier,Tottenham,29,"D(CR),DMC",2520,0,0,3,0,0.5,0.8320000000000001,3.1,0,6.66
Leander Dendoncker,Wolves,28,"D(C),M(C)",2501,1,0,4,0,0.9,0.855,2.6,0,6.65
Lucas Moura,Tottenham,31,"AM(CLR),FW",1403,3,4,1,0,0.6,0.752,0.8,3,6.63
Giovani Lo Celso,Tottenham,27,"M(CR),FW",950,1,1,5,0,0.8,0.8140000000000001,0.8,0,6.62
Maximilian Kilman,Wolves,26,D(C),1307,0,1,4,0,0.4,0.879,1.1,1,6.59
Joe Rodon,Tottenham,25,D(C),732,0,0,0,0,0.1,0.8809999999999999,1.8,0,6.57
Ben Davies,Tottenham,30,"D(CL),M(L)",1340,0,1,1,0,0.2,0.792,1.3,0,6.56
Rayan Aït Nouri,Wolves,22,"D(L),M(L)",1406,1,1,1,0,0.7,0.861,0.2,0,6.56
Conor Coady,Wolves,30,"D(CR),DMC",3304,1,0,5,0,0.2,0.88,1.1,1,6.53
Rui Patrício,Wolves,35,GK,3330,0,0,1,0,0.0,0.625,0.2,0,6.5
Steven Bergwijn,Tottenham,25,"AM(CLR),FW",1214,1,3,3,0,0.7,0.8370000000000001,0.1,0,6.49
Dele Alli,Tottenham,27,"M(CL),FW",619,0,1,0,0,0.8,0.818,0.5,0,6.49
Jonny,Wolves,29,"D(CLR),M(LR)",501,0,0,0,0,0.1,0.765,0.7,0,6.46
Rúben Vinagre,Wolves,24,"D(L),M(L)",172,0,0,0,0,0.0,0.863,0.5,0,6.46
Moussa Sissoko,Tottenham,33,M(CR),1577,0,0,3,0,0.1,0.8440000000000001,0.6,0,6.44
Willian José,Wolves,31,FW,1114,1,0,0,0,1.1,0.812,1.5,0,6.44
Marçal,Wolves,34,"D(CL),M(L)",622,0,0,2,0,0.2,0.8270000000000001,0.8,0,6.44
John Ruddy,Wolves,36,GK,91,0,0,0,0,0.0,0.643,0.5,0,6.43
Theo Corbeanu,Wolves,21,AM(LR),8,0,0,0,0,0.0,1.0,0.0,0,6.42
Morgan Gibbs White,Wolves,23,"AM(CLR),FW",412,1,0,1,0,0.9,0.86,0.2,0,6.38
Carlos Vinícius,Tottenham,28,FW,306,1,0,2,0,0.8,0.522,1.6,0,6.37
Harry Winks,Tottenham,27,DMC,861,0,0,5,0,0.3,0.8490000000000001,0.5,0,6.37
Erik Lamela,Tottenham,31,"AM(CLR),FW",708,1,0,4,1,0.9,0.831,0.3,0,6.36
Ki Jana Hoever,Wolves,21,"D(R),M(R)",574,0,0,1,0,0.1,0.78,0.5,0,6.36
Owen Otasowie,Wolves,22,Midfielder,187,0,1,1,0,0.7,0.7290000000000001,1.3,0,6.35
Fábio Silva,Wolves,21,"AM(L),FW",1357,4,3,2,0,1.5,0.728,1.1,0,6.3
Vitinha,Wolves,23,M(C),513,0,1,0,0,0.4,0.903,0.0,0,6.23
Oskar Buur,Wolves,25,D(R),22,0,0,0,0,0.0,0.929,1.0,0,6.02
Dane Scarlett,Tottenham,19,FW,1,0,0,0,0,0.0,0.0,0.0,0,6.0
Patrick Cutrone,Wolves,25,FW,23,0,0,0,0,0.5,0.0,0.0,0,5.96
