name,team,number,position,min,goal,assist,yellow,red,shot,pass,aer,mom,rating
Mason Mount,Chelsea,24,M(CLR),2892,6,5,2,0,2.3,0.865,0.6,4,7.33
Kurt Zouma,Chelsea,28,D(CR),2025,5,0,3,0,1.1,0.909,3.6,1,7.07
James Ward Prowse,Southampton,28,M(CR),3420,8,7,5,0,1.1,0.8640000000000001,1.2,2,7.07
Antonio Rüdiger,Chelsea,30,D(CLR),1710,1,0,0,0,0.7,0.894,2.2,0,7.02
Ben Chilwell,Chelsea,26,"D(L),M(L)",2290,3,5,3,0,1.0,0.82,1.4,2,7.0
Reece James,Chelsea,23,"D(CR),DMC,M(R)",2367,1,2,3,0,1.1,0.884,1.3,1,6.94
Oriol Romeu,Southampton,31,DMC,1768,1,1,6,0,0.7,0.826,1.5,2,6.93
César Azpilicueta,Chelsea,33,"D(CLR),M(R)",2191,1,2,5,1,0.4,0.8690000000000001,2.1,1,6.92
Thiago Silva,Chelsea,38,D(C),1938,2,0,3,1,0.6,0.93,2.0,0,6.91
Marcos Alonso,Chelsea,32,"D(CL),M(L)",960,2,0,2,0,1.7,0.825,1.8,1,6.9
Jannik Vestergaard,Southampton,31,D(C),2575,3,0,3,1,0.8,0.836,3.3,1,6.89
Jorginho,Chelsea,31,DMC,2014,7,1,2,0,0.5,0.892,0.6,4,6.88
N 39 Golo Kanté,Chelsea,32,M(C),2146,0,2,7,0,0.3,0.865,0.6,1,6.86
Fikayo Tomori,Chelsea,25,D(CR),45,0,0,0,0,0.0,0.966,0.0,0,6.85
Mateo Kovacic,Chelsea,29,M(CL),1820,0,1,4,0,0.9,0.9079999999999999,0.4,2,6.84
Kyle Walker Peters,Southampton,26,"D(LR),M(R)",2649,0,2,4,0,0.6,0.809,0.5,0,6.84
Danny Ings,Southampton,31,"AM(C),FW",2185,12,4,1,0,2.0,0.6629999999999999,0.8,2,6.84
Stuart Armstrong,Southampton,31,AM(CLR),2774,4,5,3,0,1.7,0.807,0.2,2,6.82
Timo Werner,Chelsea,27,"AM(CLR),FW",2608,6,8,2,0,2.3,0.7879999999999999,0.3,1,6.81
Andreas Christensen,Chelsea,27,"D(C),DMC",1375,0,0,2,1,0.2,0.9129999999999999,2.2,0,6.8
Ché Adams,Southampton,27,"AM(CL),FW",2675,9,5,1,0,1.5,0.703,1.5,0,6.77
Christian Pulisic,Chelsea,24,"M(CLR),FW",1738,4,2,2,0,1.6,0.8290000000000001,0.7,2,6.74
Callum Hudson Odoi,Chelsea,22,M(CLR),1060,2,3,0,0,1.0,0.861,0.0,0,6.73
Hakim Ziyech,Chelsea,30,M(CLR),1180,2,3,3,0,1.5,0.7909999999999999,0.2,2,6.71
Jan Bednarek,Southampton,27,D(C),3104,1,1,5,1,0.3,0.8240000000000001,2.7,1,6.7
Tammy Abraham,Chelsea,25,FW,1036,6,1,0,0,1.5,0.727,1.8,2,6.7
