name,team,number,position,min,goal,assist,yellow,red,shot,pass,aer,mom,rating
Pedro Neto,Wolves,23,"AM(CLR),FW",2559,5,6,4,0,2.0,0.884,0.6,5,7.11
Adama Traoré,Wolves,27,"M(CLR),FW",2645,2,2,4,0,1.2,0.763,2.0,4,7.11
Raúl Jiménez,Wolves,32,FW,825,4,0,0,0,2.6,0.792,1.5,1,6.91
Nélson Semedo,Wolves,29,"D(LR),M(R)",2988,1,1,5,0,0.7,0.81,1.2,1,6.9
Romain Saïss,Wolves,33,"D(C),DMC",2408,3,0,2,0,1.0,0.812,2.6,2,6.87
Rúben Neves,Wolves,26,DMC,2680,5,1,8,0,1.9,0.8440000000000001,0.7,1,6.81
Willy Boly,Wolves,32,D(C),1880,1,1,2,0,0.7,0.825,2.7,1,6.75
David McGoldrick,Sheff Utd,35,"AM(CLR),FW",2402,8,1,7,0,2.0,0.747,2.5,2,6.72
Ethan Ampadu,Sheff Utd,22,"D(C),DMC",2091,0,0,3,0,0.3,0.823,2.1,1,6.7
Chris Basham,Sheff Utd,35,"D(CR),M(CR)",2586,0,1,5,0,0.3,0.828,1.8,1,6.69
Daniel Podence,Wolves,27,"AM(CLR),FW",1679,3,2,3,0,1.3,0.777,0.3,1,6.68
Oliver McBurnie,Sheff Utd,27,"AM(CL),FW",1319,1,0,2,0,1.3,0.575,6.0,2,6.67
João Moutinho,Wolves,36,M(C),2534,1,1,3,1,0.4,0.884,0.5,0,6.67
Leander Dendoncker,Wolves,28,"D(C),M(C)",2501,1,0,4,0,0.9,0.855,2.6,0,6.65
Jack Robinson,Sheff Utd,29,"D(CL),M(L)",875,0,1,3,0,0.5,0.82,2.9,0,6.61
Maximilian Kilman,Wolves,26,D(C),1307,0,1,4,0,0.4,0.879,1.1,1,6.59
John Egan,Sheff Utd,30,D(C),2630,0,1,7,1,0.5,0.8170000000000001,2.6,1,6.58
Rayan Aït Nouri,Wolves,22,"D(L),M(L)",1406,1,1,1,0,0.7,0.861,0.2,0,6.56
Aaron Ramsdale,Sheff Utd,25,GK,3420,0,0,1,0,0.0,0.434,0.2,2,6.55
Kean Bryan,Sheff Utd,26,D(C),1007,1,0,1,0,0.2,0.7090000000000001,2.4,0,6.55
Jayden Bogle,Sheff Utd,23,"D(R),M(R)",1109,2,0,2,0,1.1,0.76,1.1,0,6.53
Conor Coady,Wolves,30,"D(CR),DMC",3304,1,0,5,0,0.2,0.88,1.1,1,6.53
John Fleck,Sheff Utd,31,DMC,2577,0,2,4,0,0.5,0.8290000000000001,0.4,0,6.51
Rui Patrício,Wolves,35,GK,3330,0,0,1,0,0.0,0.625,0.2,0,6.5
Oliver Norwood,Sheff Utd,32,M(C),2226,0,0,6,0,0.3,0.8340000000000001,0.5,0,6.48
Max Lowe,Sheff Utd,26,"D(LR),M(L)",552,0,0,1,0,0.3,0.727,0.6,0,6.47
Jonny,Wolves,29,"D(CLR),M(LR)",501,0,0,0,0,0.1,0.765,0.7,0,6.46
Rúben Vinagre,Wolves,24,"D(L),M(L)",172,0,0,0,0,0.0,0.863,0.5,0,6.46
Willian José,Wolves,31,FW,1114,1,0,0,0,1.1,0.812,1.5,0,6.44
Marçal,Wolves,34,"D(CL),M(L)",622,0,0,2,0,0.2,0.8270000000000001,0.8,0,6.44
Daniel Jebbison,Sheff Utd,20,FW,284,1,0,0,0,1.0,0.6859999999999999,1.3,0,6.43
John Ruddy,Wolves,36,GK,91,0,0,0,0,0.0,0.643,0.5,0,6.43
Sander Berge,Sheff Utd,25,M(C),1120,1,1,4,0,0.7,0.856,1.1,0,6.43
Theo Corbeanu,Wolves,21,AM(LR),8,0,0,0,0,0.0,1.0,0.0,0,6.42
Ben Osborn,Sheff Utd,29,"D(L),M(CLR)",1606,1,0,1,0,0.4,0.81,0.5,0,6.4
