name,team,number,position,min,goal,assist,yellow,red,shot,pass,aer,mom,rating
Bruno Fernandes,Man Utd,28,M(CLR),3110,18,12,6,0,3.3,0.7829999999999999,0.4,6,7.43
Mason Mount,Chelsea,24,M(CLR),2892,6,5,2,0,2.3,0.865,0.6,4,7.33
Aaron Wan Bissaka,Man Utd,25,"D(R),M(R)",3060,2,4,3,0,0.2,0.8490000000000001,1.1,3,7.15
Marcus Rashford,Man Utd,25,"AM(CLR),FW",2928,11,9,4,0,2.1,0.821,0.7,3,7.13
Kurt Zouma,Chelsea,28,D(CR),2025,5,0,3,0,1.1,0.909,3.6,1,7.07
Paul Pogba,Man Utd,30,M(CL),1896,3,3,3,0,1.2,0.83,2.1,4,7.06
Harry Maguire,Man Utd,30,D(C),3048,2,1,11,0,1.1,0.873,4.0,4,7.04
Luke Shaw,Man Utd,28,"D(CL),M(L)",2657,1,5,8,0,0.3,0.85,1.2,2,7.03
Antonio Rüdiger,Chelsea,30,D(CLR),1710,1,0,0,0,0.7,0.894,2.2,0,7.02
Ben Chilwell,Chelsea,26,"D(L),M(L)",2290,3,5,3,0,1.0,0.82,1.4,2,7.0
Alex Telles,Man Utd,30,"D(CL),M(L)",692,0,2,0,0,0.6,0.847,1.9,0,6.97
Reece James,Chelsea,23,"D(CR),DMC,M(R)",2367,1,2,3,0,1.1,0.884,1.3,1,6.94
Scott McTominay,Man Utd,26,"D(C),DMC",2128,4,1,3,0,0.8,0.87,1.5,0,6.93
Anthony Elanga,Man Utd,21,AM(LR),156,1,0,0,0,1.0,0.755,0.5,1,6.93
Fred,Man Utd,30,M(C),2397,1,0,5,0,0.8,0.877,0.3,0,6.92
Timothy Fosu Mensah,Man Utd,25,D(CR),81,0,0,1,0,1.0,0.909,1.0,0,6.92
César Azpilicueta,Chelsea,33,"D(CLR),M(R)",2191,1,2,5,1,0.4,0.8690000000000001,2.1,1,6.92
Thiago Silva,Chelsea,38,D(C),1938,2,0,3,1,0.6,0.93,2.0,0,6.91
Marcos Alonso,Chelsea,32,"D(CL),M(L)",960,2,0,2,0,1.7,0.825,1.8,1,6.9
Jorginho,Chelsea,31,DMC,2014,7,1,2,0,0.5,0.892,0.6,4,6.88
N 39 Golo Kanté,Chelsea,32,M(C),2146,0,2,7,0,0.3,0.865,0.6,1,6.86
Fikayo Tomori,Chelsea,25,D(CR),45,0,0,0,0,0.0,0.966,0.0,0,6.85
Mateo Kovacic,Chelsea,29,M(CL),1820,0,1,4,0,0.9,0.9079999999999999,0.4,2,6.84
Anthony Martial,Man Utd,27,"AM(LR),FW",1488,4,3,0,1,2.0,0.8440000000000001,0.8,1,6.84
Timo Werner,Chelsea,27,"AM(CLR),FW",2608,6,8,2,0,2.3,0.7879999999999999,0.3,1,6.81
Andreas Christensen,Chelsea,27,"D(C),DMC",1375,0,0,2,1,0.2,0.9129999999999999,2.2,0,6.8
Amad Diallo,Man Utd,21,AM(CR),167,0,1,0,0,0.3,0.825,0.3,0,6.78
Christian Pulisic,Chelsea,24,"M(CLR),FW",1738,4,2,2,0,1.6,0.8290000000000001,0.7,2,6.74
Callum Hudson Odoi,Chelsea,22,M(CLR),1060,2,3,0,0,1.0,0.861,0.0,0,6.73
Mason Greenwood,Man Utd,21,"AM(R),FW",1826,7,2,2,0,2.2,0.85,0.2,1,6.72
Hakim Ziyech,Chelsea,30,M(CLR),1180,2,3,3,0,1.5,0.7909999999999999,0.2,2,6.71
Tammy Abraham,Chelsea,25,FW,1036,6,1,0,0,1.5,0.727,1.8,2,6.7
Victor Lindelöf,Man Utd,29,D(CR),2586,1,1,0,0,0.1,0.898,2.2,0,6.69
Edinson Cavani,Man Utd,36,"AM(LR),FW",1372,10,3,4,0,1.3,0.774,0.4,1,6.67
Dean Henderson,Man Utd,26,GK,1125,0,0,3,0,0.0,0.674,0.5,0,6.65
Emerson,Chelsea,29,"D(L),M(L)",89,0,0,0,0,0.0,0.732,1.5,0,6.63
Daniel James,Man Utd,25,"AM(CLR),FW",914,3,1,3,0,1.1,0.813,0.3,0,6.61
Kai Havertz,Chelsea,24,"M(CR),FW",1522,4,3,2,0,1.2,0.8490000000000001,1.1,1,6.6
Nemanja Matic,Man Utd,35,DMC,1102,0,0,2,0,0.3,0.903,1.0,0,6.58
Édouard Mendy,Chelsea,31,GK,2746,0,0,2,0,0.0,0.833,0.1,0,6.56
Juan Mata,Man Utd,35,AM(CLR),510,1,2,0,0,0.6,0.857,0.1,0,6.54
Olivier Giroud,Chelsea,36,FW,747,4,0,1,0,1.7,0.703,1.4,1,6.52
David de Gea,Man Utd,32,GK,2296,0,0,0,0,0.0,0.754,0.2,0,6.47
Eric Bailly,Man Utd,29,D(CR),915,0,0,3,0,0.2,0.883,2.0,0,6.41
Donny van de Beek,Man Utd,26,M(C),515,1,1,1,0,0.1,0.861,0.1,0,6.35
Ross Barkley,Chelsea,29,M(CLR),40,0,0,0,0,0.5,0.852,1.0,0,6.34
Billy Gilmour,Chelsea,22,DMC,260,0,0,0,0,0.2,0.88,0.4,0,6.32
Axel Tuanzebe,Man Utd,25,D(CR),402,0,0,2,0,0.0,0.8859999999999999,0.7,0,6.26
Ruben Loftus Cheek,Chelsea,27,M(CLR),61,0,0,0,0,0.0,0.647,1.0,0,6.23
Brandon Williams,Man Utd,22,"D(L),M(L)",187,0,0,0,0,0.3,0.846,0.0,0,6.21
Kepa,Chelsea,28,GK,585,0,0,1,0,0.0,0.785,0.0,0,6.17
Hannibal Mejbri,Man Utd,20,AM(C),8,0,0,0,0,0.0,1.0,0.0,0,6.17
Shola Shoretire,Man Utd,19,"AM(C),FW",9,0,0,0,0,0.0,0.833,0.5,0,6.01
William Fish,Man Utd,20,D(C),1,0,0,0,0,0.0,0.0,0.0,0,6.0
Odion Ighalo,Man Utd,34,"AM(C),FW",9,0,0,0,0,0.0,1.0,0.0,0,5.74
Willy Caballero,Chelsea,41,GK,90,0,0,0,0,0.0,0.917,0.0,0,5.41
