name,team,number,position,min,goal,assist,yellow,red,shot,pass,aer,mom,rating
Sadio Mané,Liverpool,31,"AM(CLR),FW",2813,11,7,3,0,2.7,0.787,1.0,7,7.33
Nathaniel Phillips,Liverpool,26,D(C),1456,1,1,2,0,0.9,0.8420000000000001,5.6,3,7.29
Thiago Alcântara,Liverpool,32,M(C),1858,1,0,4,0,0.9,0.8959999999999999,1.3,2,7.12
Roberto Firmino,Liverpool,31,"M(CLR),FW",2852,9,7,2,0,2.3,0.807,0.6,4,7.11
Mohamed Salah,Liverpool,31,"AM(CLR),FW",3082,22,5,0,0,3.4,0.8370000000000001,0.5,3,7.07
Caoimhín Kelleher,Liverpool,24,GK,180,0,0,0,0,0.0,0.75,0.0,0,7.03
Trent Alexander Arnold,Liverpool,24,"D(R),DMC,M(R)",3033,2,7,2,0,1.5,0.794,0.2,2,7.02
Joël Matip,Liverpool,32,D(C),693,1,2,2,0,0.5,0.877,2.3,1,6.96
Diogo Jota,Liverpool,26,"AM(CLR),FW",1113,9,0,2,0,2.4,0.7490000000000001,0.7,0,6.89
Andy Robertson,Liverpool,29,"D(L),M(L)",3386,1,7,2,0,0.5,0.8440000000000001,0.8,0,6.88
Fabinho,Liverpool,29,"D(CR),DMC",2565,0,0,6,0,0.3,0.903,1.8,0,6.82
Jordan Henderson,Liverpool,33,"D(C),M(CLR)",1708,1,1,0,0,0.7,0.873,0.5,0,6.82
Alisson Becker,Liverpool,30,GK,2970,1,0,1,0,0.0,0.846,0.4,0,6.73
David McGoldrick,Sheff Utd,35,"AM(CLR),FW",2402,8,1,7,0,2.0,0.747,2.5,2,6.72
Ozan Kabak,Liverpool,23,D(C),803,0,0,3,0,0.1,0.887,2.9,0,6.72
Rhys Williams,Liverpool,22,D(C),661,0,0,0,0,0.8,0.873,3.3,0,6.71
Ethan Ampadu,Sheff Utd,22,"D(C),DMC",2091,0,0,3,0,0.3,0.823,2.1,1,6.7
Chris Basham,Sheff Utd,35,"D(CR),M(CR)",2586,0,1,5,0,0.3,0.828,1.8,1,6.69
Oliver McBurnie,Sheff Utd,27,"AM(CL),FW",1319,1,0,2,0,1.3,0.575,6.0,2,6.67
Georginio Wijnaldum,Liverpool,32,M(CLR),2947,2,0,1,0,0.8,0.927,1.0,0,6.62
Jack Robinson,Sheff Utd,29,"D(CL),M(L)",875,0,1,3,0,0.5,0.82,2.9,0,6.61
Naby Keïta,Liverpool,28,M(C),524,0,0,1,0,0.9,0.879,0.4,0,6.59
John Egan,Sheff Utd,30,D(C),2630,0,1,7,1,0.5,0.8170000000000001,2.6,1,6.58
Curtis Jones,Liverpool,22,AM(CL),1178,1,2,2,0,0.8,0.922,0.6,0,6.58
Aaron Ramsdale,Sheff Utd,25,GK,3420,0,0,1,0,0.0,0.434,0.2,2,6.55
Kean Bryan,Sheff Utd,26,D(C),1007,1,0,1,0,0.2,0.7090000000000001,2.4,0,6.55
Jayden Bogle,Sheff Utd,23,"D(R),M(R)",1109,2,0,2,0,1.1,0.76,1.1,0,6.53
John Fleck,Sheff Utd,31,DMC,2577,0,2,4,0,0.5,0.8290000000000001,0.4,0,6.51
Neco Williams,Liverpool,22,"D(LR),M(LR)",249,0,0,1,0,0.3,0.7959999999999999,0.5,0,6.49
Oliver Norwood,Sheff Utd,32,M(C),2226,0,0,6,0,0.3,0.8340000000000001,0.5,0,6.48
Joe Gomez,Liverpool,26,D(CLR),590,0,0,0,0,0.0,0.897,3.0,0,6.48
James Milner,Liverpool,37,"D(LR),M(CLR)",1062,0,1,3,0,0.5,0.856,0.9,0,6.48
Max Lowe,Sheff Utd,26,"D(LR),M(L)",552,0,0,1,0,0.3,0.727,0.6,0,6.47
Virgil van Dijk,Liverpool,32,D(C),371,1,0,1,0,0.8,0.9,2.4,0,6.45
Daniel Jebbison,Sheff Utd,20,FW,284,1,0,0,0,1.0,0.6859999999999999,1.3,0,6.43
Sander Berge,Sheff Utd,25,M(C),1120,1,1,4,0,0.7,0.856,1.1,0,6.43
Takumi Minamino,Liverpool,28,"AM(CLR),FW",289,1,0,0,0,0.8,0.797,0.3,0,6.4
Ben Osborn,Sheff Utd,29,"D(L),M(CLR)",1606,1,0,1,0,0.4,0.81,0.5,0,6.4
Xherdan Shaqiri,Liverpool,31,M(CLR),553,0,2,2,0,0.8,0.872,0.1,0,6.39
Enda Stevens,Sheff Utd,33,"D(CL),M(L)",2700,0,1,6,0,0.5,0.7809999999999999,1.2,0,6.39
Jack O 39 Connell,Sheff Utd,29,D(C),180,0,0,0,0,0.0,0.7140000000000001,2.5,0,6.36
George Baldock,Sheff Utd,30,"D(CR),M(R)",2789,0,2,7,0,0.4,0.7829999999999999,0.8,0,6.35
Oliver Burke,Sheff Utd,26,"AM(LR),FW",1273,1,1,2,0,1.0,0.7020000000000001,1.2,0,6.25
John Lundstram,Sheff Utd,29,"D(C),DMC",2032,0,2,8,1,0.7,0.8420000000000001,0.5,0,6.23
Billy Sharp,Sheff Utd,37,FW,730,3,0,1,0,0.6,0.75,0.8,0,6.2
Antwoine Hackford,Sheff Utd,19,Forward,10,0,0,0,0,1.0,1.0,0.0,0,6.19
Divock Origi,Liverpool,28,"AM(LR),FW",182,0,0,0,0,0.8,0.804,0.3,0,6.19
Alex Oxlade Chamberlain,Liverpool,29,M(CLR),246,1,1,0,0,0.6,0.794,0.3,0,6.18
Rhian Brewster,Sheff Utd,23,FW,1125,0,0,1,0,0.9,0.7440000000000001,0.5,0,6.17
