name,team,number,position,min,goal,assist,yellow,red,shot,pass,aer,mom,rating
Raphinha,Leeds,26,"AM(LR),FW",2364,6,9,3,0,2.2,0.723,0.3,4,7.22
Christian Benteke,Crystal Palace,32,FW,1819,10,1,1,1,2.4,0.586,6.8,2,7.08
Liam Cooper,Leeds,31,D(C),2188,1,0,4,1,0.6,0.856,3.8,2,7.06
Kiko Casilla,Leeds,36,GK,270,0,0,0,0,0.0,0.872,0.7,0,7.06
Patrick Bamford,Leeds,29,"AM(CLR),FW",3066,17,7,3,0,2.8,0.773,1.2,3,7.03
Kalvin Phillips,Leeds,27,"D(C),DMC",2431,1,2,10,0,0.5,0.847,1.0,1,7.01
Jack Harrison,Leeds,26,"AM(CLR),FW",2858,8,8,2,0,1.3,0.74,0.7,4,6.96
Luke Ayling,Leeds,31,"D(CR),M(R)",3400,0,0,7,0,0.6,0.79,1.7,0,6.94
Illan Meslier,Leeds,23,GK,3150,0,0,0,0,0.0,0.7709999999999999,0.6,3,6.91
Diego Llorente,Leeds,29,"D(C),DMC",1206,1,0,1,0,0.5,0.833,2.2,1,6.9
Andros Townsend,Crystal Palace,32,"AM(LR),FW",2259,1,5,0,0,1.1,0.737,0.1,1,6.88
Wilfried Zaha,Crystal Palace,30,"AM(LR),FW",2614,11,2,6,0,2.0,0.7829999999999999,0.3,2,6.88
Stuart Dallas,Leeds,32,"D(LR),M(CLR)",3411,8,2,7,0,1.3,0.8370000000000001,0.9,3,6.87
Gaetano Berardi,Leeds,34,D(CLR),114,0,0,0,0,0.5,0.836,2.0,0,6.85
James McArthur,Crystal Palace,35,M(CLR),1471,0,2,3,0,0.3,0.8170000000000001,1.2,1,6.84
Eberechi Eze,Crystal Palace,25,AM(CLR),2565,4,6,3,0,1.1,0.8420000000000001,0.4,4,6.81
Pascal Struijk,Leeds,24,"D(CL),DMC",2074,1,0,3,0,0.5,0.86,1.7,0,6.81
Tyrick Mitchell,Crystal Palace,23,D(L),1710,1,1,1,0,0.1,0.698,0.6,0,6.7
Rodrigo,Leeds,32,"M(CLR),FW",1291,7,2,3,0,1.8,0.769,0.9,0,6.67
Jeffrey Schlupp,Crystal Palace,30,"D(L),M(CLR)",1426,2,3,3,0,0.7,0.7390000000000001,1.1,2,6.65
Ezgjan Alioski,Leeds,31,"D(L),M(CLR)",2466,2,3,7,0,0.7,0.795,1.1,0,6.62
Robin Koch,Leeds,27,"D(C),DMC",1131,0,0,1,0,0.5,0.862,2.2,0,6.59
Scott Dann,Crystal Palace,36,D(C),1350,1,0,1,0,0.3,0.809,3.4,0,6.58
Gary Cahill,Crystal Palace,37,D(C),1800,1,1,3,0,0.6,0.8240000000000001,3.5,0,6.57
Cheikhou Kouyaté,Crystal Palace,33,"D(CR),DMC",3123,1,0,4,0,0.2,0.772,2.3,1,6.57
Luka Milivojevic,Crystal Palace,32,DMC,2365,1,1,8,1,0.6,0.83,1.1,1,6.55
Joel Ward,Crystal Palace,33,"D(CLR),DMC,M(R)",2255,0,1,5,0,0.1,0.7190000000000001,1.8,0,6.55
Jordan Ayew,Crystal Palace,31,"AM(CLR),FW",2098,1,3,4,0,0.8,0.81,0.9,0,6.52
Mateusz Klich,Leeds,33,M(CL),2399,4,5,6,0,1.0,0.823,0.4,0,6.51
Patrick van Aanholt,Crystal Palace,32,"D(L),M(L)",1776,0,1,2,0,0.8,0.8009999999999999,0.5,0,6.47
Vicente Guaita,Crystal Palace,36,GK,3330,0,0,2,0,0.0,0.496,0.3,1,6.46
Tyler Roberts,Leeds,24,"AM(CR),FW",1341,1,2,3,0,1.0,0.716,0.7,0,6.43
James Tomkins,Crystal Palace,34,D(CR),552,0,0,1,0,0.3,0.769,1.5,0,6.39
Jairo Riedewald,Crystal Palace,26,"D(CL),DMC",1819,2,0,4,0,0.2,0.856,0.4,0,6.34
Nathaniel Clyne,Crystal Palace,32,"D(LR),M(R)",1147,0,1,2,0,0.3,0.763,0.3,0,6.33
Michy Batshuayi,Crystal Palace,29,FW,724,2,1,0,0,0.7,0.713,0.6,0,6.32
Hélder Costa,Leeds,29,AM(CLR),1158,3,3,0,0,0.7,0.7659999999999999,0.2,0,6.32
James McCarthy,Crystal Palace,32,M(C),824,0,0,1,0,0.1,0.764,0.6,0,6.29
Jean Philippe Mateta,Crystal Palace,26,FW,217,1,0,0,0,0.6,0.617,1.9,0,6.29
Jack Butland,Crystal Palace,30,GK,90,0,0,0,0,0.0,0.21100000000000002,0.0,0,6.25
Pablo Hernández,Leeds,38,M(CLR),419,0,2,1,0,0.9,0.77,0.0,0,6.25
Niall Huggins,Leeds,22,Defender,37,0,0,0,0,0.0,0.882,0.0,0,6.23
Ian Poveda,Leeds,23,AM(R),345,0,0,0,0,0.4,0.757,0.0,0,6.23
Jamie Shackleton,Leeds,23,"D(R),DMC,M(R)",456,0,0,0,0,0.0,0.8959999999999999,0.0,0,6.18
Martin Kelly,Crystal Palace,33,D(CLR),1,0,0,0,0,0.0,0.667,0.0,0,6.08
Mamadou Sakho,Crystal Palace,33,D(C),275,0,0,0,0,0.3,0.88,1.5,0,6.06
Leif Davis,Leeds,23,"D(L),M(L)",31,0,0,0,0,0.0,0.895,0.0,0,6.02
