name,team,min,goal,assist,shot,pass,aer,mom,rating
Cristiano Ronaldo,Juventus,2919,31,5,6.3,0.851,1.2,10,7.82
Josip Ilicic,Atalanta,1673,15,5,3.1,0.8190000000000001,0.1,7,7.65
Ciro Immobile,Lazio,3176,36,9,3.8,0.77,0.6,10,7.57
Luis Alberto,Lazio,3122,6,15,2.7,0.835,0.3,10,7.55
Papu Gómez,Atalanta,2861,7,16,2.6,0.853,0.1,3,7.55
Zlatan Ibrahimovic,AC Milan,1365,10,5,3.7,0.7090000000000001,4.4,4,7.51
Edin Dzeko,Roma,2884,16,7,3.5,0.6990000000000001,3.7,5,7.48
Domenico Berardi,Sassuolo,2505,14,10,3.9,0.784,0.6,5,7.45
Paulo Dybala,Juventus,2165,11,6,3.0,0.8809999999999999,0.1,3,7.44
Duván Zapata,Atalanta,2038,18,6,3.2,0.7959999999999999,1.9,4,7.41
Cristiano Ronaldo,Juventus,2919,31,5,6.3,0.851,1.2,10,7.82
Josip Ilicic,Atalanta,1673,15,5,3.1,0.8190000000000001,0.1,7,7.65
Ciro Immobile,Lazio,3176,36,9,3.8,0.77,0.6,10,7.57
Luis Alberto,Lazio,3122,6,15,2.7,0.835,0.3,10,7.55
Papu Gómez,Atalanta,2861,7,16,2.6,0.853,0.1,3,7.55
Gianluca Pegolo,Sassuolo,450,0,0,0.0,0.8059999999999999,0.0,2,7.54
Zlatan Ibrahimovic,AC Milan,1365,10,5,3.7,0.7090000000000001,4.4,4,7.51
Edin Dzeko,Roma,2884,16,7,3.5,0.6990000000000001,3.7,5,7.48
Domenico Berardi,Sassuolo,2505,14,10,3.9,0.784,0.6,5,7.45
Paulo Dybala,Juventus,2165,11,6,3.0,0.8809999999999999,0.1,3,7.44
Duván Zapata,Atalanta,2038,18,6,3.2,0.7959999999999999,1.9,4,7.41
Kevin Bonifazi,Torino,248,1,0,1.0,0.825,2.0,0,7.35
Romelu Lukaku,Inter,2984,23,2,2.8,0.7070000000000001,2.6,4,7.3
Demba Thiam,SPAL 2013,180,0,0,0.0,0.746,0.5,0,7.3
Andrea Ranocchia,Inter,526,0,0,0.6,0.882,4.1,0,7.29
Musa Barrow,Bologna,1354,9,2,3.6,0.782,0.7,3,7.28
Sergej Milinkovic Savic,Lazio,3038,7,4,2.4,0.772,3.5,5,7.27
Rodrigo De Paul,Udinese,2828,7,6,2.5,0.82,0.0,8,7.25
Antonio Mirante,Roma,450,0,0,0.0,0.8009999999999999,0.4,0,7.23
Robin Gosens,Atalanta,2628,9,8,1.5,0.784,1.5,0,7.22
Radja Nainggolan,Cagliari,2082,6,7,2.5,0.7979999999999999,0.7,4,7.21
Theo Hernández,AC Milan,2819,6,3,1.5,0.843,1.4,3,7.19
Hakan Çalhanoglu,AC Milan,2719,9,9,2.9,0.84,0.8,4,7.19
Jérémie Boga,Sassuolo,2525,11,2,1.7,0.868,0.1,3,7.17
Joaquín Correa,Lazio,2005,9,2,2.6,0.8170000000000001,0.5,1,7.16
Marcelo Brozovic,Inter,2703,3,6,1.7,0.899,0.7,2,7.15
Aleksandar Kolarov,Roma,2760,7,3,2.3,0.8370000000000001,1.4,1,7.14
Manuel Locatelli,Sassuolo,2597,0,5,1.0,0.88,0.7,3,7.13
