name,team,number,position,min,goal,assist,yellow,red,shot,pass,aer,mom,rating
Toti,Wolves,24,D(CL),360,0,0,1,0,0.3,0.7559999999999999,3.3,0,7.01
Rayan Aït Nouri,Wolves,22,"D(L),M(L)",1828,1,2,4,0,0.6,0.767,0.7,1,6.96
Richarlison,Everton,26,"AM(CLR),FW",2528,10,5,9,0,2.4,0.634,2.2,3,6.96
Adama Traoré,Wolves,27,"M(CLR),FW",1065,1,0,0,0,1.2,0.779,0.8,4,6.94
Dominic Calvert Lewin,Everton,26,"AM(L),FW",1286,5,2,2,0,1.9,0.603,5.5,2,6.92
Maximilian Kilman,Wolves,26,D(C),2689,1,0,3,0,0.4,0.858,2.2,1,6.87
Rúben Neves,Wolves,26,DMC,2663,4,2,9,0,1.3,0.84,0.6,2,6.85
Romain Saïss,Wolves,33,"D(C),DMC",2709,2,0,6,0,0.6,0.8009999999999999,2.4,1,6.85
José Sá,Wolves,30,GK,3286,0,1,3,0,0.0,0.63,0.4,5,6.83
Nélson Semedo,Wolves,29,"D(LR),M(R)",2137,0,1,1,0,0.8,0.774,0.6,0,6.82
Lucas Digne,Everton,30,"D(CL),M(L)",1170,0,0,4,0,0.7,0.76,1.9,0,6.8
Demarai Gray,Everton,27,"AM(CLR),FW",2352,5,4,3,0,1.9,0.815,0.1,0,6.78
Daniel Podence,Wolves,27,"AM(CLR),FW",1486,2,3,2,0,1.3,0.741,0.1,0,6.78
Marçal,Wolves,34,"D(CL),M(L)",1453,0,0,3,0,0.6,0.777,1.4,0,6.75
Jonny,Wolves,29,"D(CLR),M(LR)",1023,2,0,1,0,0.8,0.83,0.8,0,6.75
Asmir Begovic,Everton,36,GK,270,0,0,0,0,0.0,0.43799999999999994,1.7,1,6.74
Abdoulaye Doucouré,Everton,30,M(C),2538,2,4,6,0,1.1,0.7959999999999999,1.2,1,6.72
Michael Keane,Everton,30,D(CR),2793,3,2,2,1,0.6,0.765,3.0,1,6.72
Andros Townsend,Everton,32,"AM(LR),FW",1459,3,2,3,0,1.0,0.7809999999999999,0.3,2,6.71
Anthony Gordon,Everton,22,AM(CLR),2285,4,2,4,0,1.3,0.742,0.5,2,6.7
Vitalii Mykolenko,Everton,24,"D(CL),M(L)",1056,1,0,0,0,0.6,0.7340000000000001,0.8,1,6.69
João Moutinho,Wolves,36,M(C),2975,2,1,4,0,0.6,0.867,0.4,2,6.69
Raúl Jiménez,Wolves,32,FW,2640,6,4,5,2,1.7,0.718,1.9,1,6.65
Conor Coady,Wolves,30,"D(CR),DMC",3364,4,0,5,0,0.3,0.897,0.8,0,6.65
Yerry Mina,Everton,28,D(C),847,0,0,3,0,0.5,0.8009999999999999,2.3,0,6.61
Fabian Delph,Everton,33,"D(L),M(CL)",666,0,0,2,0,0.2,0.843,0.5,0,6.61
Séamus Coleman,Everton,34,"D(CR),M(R)",2658,1,0,4,0,0.3,0.742,0.8,1,6.61
Jordan Pickford,Everton,29,GK,3150,0,0,2,0,0.0,0.48100000000000004,0.3,3,6.6
Willy Boly,Wolves,32,D(C),900,0,0,1,0,0.2,0.84,2.0,0,6.6
Alex Iwobi,Everton,27,M(CLR),2037,2,2,1,0,0.9,0.7959999999999999,0.3,1,6.58
Trincão,Wolves,23,AM(CR),1340,2,1,0,0,1.1,0.8079999999999999,0.2,1,6.57
Mason Holgate,Everton,26,"D(CR),DMC,M(R)",2134,2,1,7,1,0.3,0.684,2.5,0,6.53
Hwang Hee Chan,Wolves,27,"AM(CLR),FW",1822,5,1,2,0,0.9,0.81,0.3,1,6.52
Chiquinho,Wolves,23,AM(R),204,0,3,0,0,0.6,0.733,0.5,0,6.52
Ben Godfrey,Everton,25,D(CLR),2031,0,0,6,0,0.8,0.7659999999999999,1.6,0,6.51
Allan,Everton,32,DMC,2188,0,2,7,1,0.3,0.8,0.4,0,6.5
Donny van de Beek,Everton,26,M(C),484,1,0,1,0,0.7,0.847,1.0,0,6.47
Pedro Neto,Wolves,23,"AM(CLR),FW",466,1,1,3,0,1.3,0.8490000000000001,0.2,0,6.46
Leander Dendoncker,Wolves,28,"D(C),M(C)",1948,2,2,4,0,0.8,0.8690000000000001,1.0,0,6.44
John Ruddy,Wolves,36,GK,135,0,0,0,0,0.0,0.621,0.5,0,6.4
Luke Cundle,Wolves,21,AM(C),180,0,0,0,0,0.0,0.932,0.0,0,6.34
Ki Jana Hoever,Wolves,21,"D(R),M(R)",307,0,0,1,0,0.1,0.695,0.4,0,6.31
Jonjoe Kenny,Everton,26,"D(LR),M(R)",1017,0,1,1,1,0.3,0.737,0.6,0,6.27
Dele Alli,Everton,27,"M(CL),FW",332,0,0,3,0,0.3,0.73,0.8,0,6.26
Tom Davies,Everton,25,M(C),233,1,0,1,0,1.0,0.741,0.5,0,6.22
Ellis Simms,Everton,22,FW,62,0,0,0,0,0.0,0.583,2.0,0,6.21
Salomón Rondón,Everton,33,FW,783,1,1,3,1,1.1,0.624,1.9,0,6.19
André Gomes,Everton,30,M(CLR),619,0,1,3,0,1.0,0.772,0.6,0,6.17
Jarrad Branthwaite,Everton,21,D(C),388,1,0,0,1,0.5,0.757,1.8,0,6.15
Chem Campbell,Wolves,20,AM(L),12,0,0,0,0,0.0,0.889,0.0,0,6.13
Fábio Silva,Wolves,21,"AM(L),FW",565,0,0,0,0,0.9,0.684,0.4,0,6.09
Jean Philippe Gbamin,Everton,27,"D(CR),DMC",67,0,0,0,0,0.0,0.727,0.3,0,6.07
Anwar El Ghazi,Everton,28,"AM(LR),FW",11,0,0,0,0,0.0,0.778,0.0,0,6.05
Tyler Onyango,Everton,20,M(C),27,0,0,0,0,0.3,0.5,0.3,0,6.02
Moise Kean,Everton,23,"AM(LR),FW",1,0,0,0,0,0.0,1.0,0.0,0,6.0
Lewis Dobbin,Everton,20,AM(CLR),30,0,0,1,0,0.0,0.625,0.0,0,5.99
Cenk Tosun,Everton,32,"AM(LR),FW",6,0,0,0,0,0.0,1.0,0.0,0,5.96
Morgan Gibbs White,Wolves,23,"AM(CLR),FW",7,0,0,1,0,1.0,0.778,0.0,0,5.94
Isaac Price,Everton,19,Midfielder,12,0,0,0,0,1.0,0.5,0.0,0,5.7
