name,team,number,position,min,goal,assist,yellow,red,shot,pass,aer,mom,rating
Jarrod Bowen,West Ham,26,"AM(CLR),FW",2993,12,10,6,0,2.2,0.762,1.1,4,7.14
Cristiano Ronaldo,Man Utd,38,"M(L),FW",2459,18,3,8,0,3.7,0.8190000000000001,1.4,5,7.11
Declan Rice,West Ham,24,"D(C),DMC",3178,1,4,8,0,0.7,0.9159999999999999,1.2,1,7.1
Bruno Fernandes,Man Utd,28,M(CLR),3120,10,6,10,0,2.5,0.7829999999999999,0.5,3,7.03
Paul Pogba,Man Utd,30,M(CL),1355,1,9,7,1,1.6,0.835,1.8,1,7.0
Mason Greenwood,Man Utd,21,"AM(R),FW",1281,5,1,1,0,2.7,0.838,0.2,0,6.98
Tomás Soucek,West Ham,28,DMC,3062,5,1,3,0,1.3,0.7659999999999999,3.8,1,6.97
Michail Antonio,West Ham,33,"D(R),M(CLR),FW",2981,10,8,6,1,2.3,0.675,2.2,2,6.92
Aaron Wan Bissaka,Man Utd,25,"D(R),M(R)",1794,0,0,2,0,0.3,0.81,1.0,1,6.91
Scott McTominay,Man Utd,26,"D(C),DMC",2393,1,1,9,0,0.9,0.856,2.3,2,6.89
Alex Telles,Man Utd,30,"D(CL),M(L)",1660,0,4,1,0,0.5,0.8029999999999999,1.4,0,6.89
Fred,Man Utd,30,M(C),2036,4,4,5,0,0.5,0.841,0.5,2,6.87
Saïd Benrahma,West Ham,28,AM(CLR),2184,8,6,0,0,2.0,0.8109999999999999,0.3,2,6.86
Diogo Dalot,Man Utd,24,"D(LR),M(R)",1799,0,0,4,0,0.5,0.802,1.2,1,6.86
Pablo Fornals,West Ham,27,M(CLR),2804,6,3,4,0,1.2,0.7809999999999999,0.6,2,6.8
Raphaël Varane,Man Utd,30,D(C),1829,1,1,0,0,0.4,0.878,2.5,1,6.78
Lukasz Fabianski,West Ham,38,GK,3330,0,0,2,0,0.0,0.5920000000000001,0.3,1,6.76
Aaron Cresswell,West Ham,33,"D(CL),M(L)",2728,2,3,3,0,0.6,0.826,1.0,0,6.75
Kurt Zouma,West Ham,28,D(CR),2080,1,0,1,0,0.3,0.877,2.1,0,6.74
Craig Dawson,West Ham,33,D(CR),2754,2,2,4,1,0.7,0.809,2.8,0,6.7
Arthur Masuaku,West Ham,29,"D(L),M(L)",645,1,1,1,0,0.3,0.799,1.2,0,6.67
Angelo Ogbonna,West Ham,35,D(C),922,1,0,1,0,0.3,0.852,2.5,1,6.66
Jadon Sancho,Man Utd,23,AM(CLR),1904,3,3,0,0,0.9,0.835,0.1,1,6.66
Ben Johnson,West Ham,23,"D(CLR),M(LR)",1401,1,0,1,0,0.3,0.708,0.8,0,6.65
Harry Maguire,Man Utd,30,D(C),2514,1,0,7,1,0.8,0.8640000000000001,2.5,0,6.65
David de Gea,Man Utd,32,GK,3420,0,0,0,0,0.0,0.6890000000000001,0.2,1,6.64
Manuel Lanzini,West Ham,30,M(CLR),1789,5,3,2,0,0.5,0.919,0.2,1,6.64
Luke Shaw,Man Utd,28,"D(CL),M(L)",1603,0,3,8,0,0.3,0.841,1.0,0,6.64
Nemanja Matic,Man Utd,35,DMC,1384,0,4,3,0,0.3,0.871,1.2,0,6.63
Vladimír Coufal,West Ham,30,"D(R),M(R)",2211,0,4,3,1,0.4,0.7140000000000001,1.2,0,6.56
Alphonse Areola,West Ham,30,GK,90,0,0,0,0,0.0,0.486,0.0,0,6.56
Anthony Elanga,Man Utd,21,AM(LR),1217,2,2,0,0,1.0,0.782,1.1,0,6.56
Daniel James,Man Utd,25,"AM(CLR),FW",128,0,0,0,0,2.0,0.69,0.5,0,6.53
Victor Lindelöf,Man Utd,29,D(CR),2355,0,2,4,0,0.1,0.878,1.9,0,6.5
Issa Diop,West Ham,26,D(C),962,0,1,0,0,0.2,0.851,1.2,0,6.45
Phil Jones,Man Utd,31,"D(CR),DMC",163,0,0,0,0,0.0,0.877,0.5,0,6.42
Edinson Cavani,Man Utd,36,"AM(LR),FW",765,2,1,0,0,1.2,0.7609999999999999,0.5,0,6.4
Marcus Rashford,Man Utd,25,"AM(CLR),FW",1233,4,2,2,0,0.9,0.7609999999999999,0.4,0,6.35
Juan Mata,Man Utd,35,AM(CLR),232,0,0,0,0,0.7,0.889,0.0,0,6.31
Anthony Martial,Man Utd,27,"AM(LR),FW",210,1,0,0,0,0.6,0.8170000000000001,0.5,0,6.31
Donny van de Beek,Man Utd,26,M(C),69,1,0,0,0,0.3,0.7879999999999999,0.1,0,6.3
Eric Bailly,Man Utd,29,D(CR),218,0,0,1,0,0.0,0.8,1.5,0,6.28
Jesse Lingard,Man Utd,30,"AM(CLR),FW",356,2,0,1,0,0.5,0.883,0.0,0,6.24
Nikola Vlasic,West Ham,25,"AM(CLR),FW",555,1,0,0,0,0.4,0.8079999999999999,0.3,0,6.22
Mark Noble,West Ham,36,M(C),327,1,0,0,0,0.2,0.879,0.1,0,6.2
Harrison Ashby,West Ham,21,Defender,6,0,0,0,0,0.0,1.0,0.0,0,6.17
Ryan Fredericks,West Ham,30,"D(R),M(R)",304,0,0,1,0,0.0,0.782,0.4,0,6.15
Andrii Yarmolenko,West Ham,33,"AM(CR),FW",304,1,0,1,0,0.6,0.772,0.3,0,6.15
Sonny Perkins,West Ham,19,Forward,3,0,0,0,0,0.0,0.0,1.0,0,6.08
Shola Shoretire,Man Utd,19,"AM(C),FW",16,0,0,0,0,0.0,1.0,0.0,0,6.05
Alex Král,West Ham,25,DMC,1,0,0,0,0,0.0,0.0,1.0,0,6.0
Daniel Chesters,West Ham,21,Midfielder,1,0,0,0,0,0.0,0.0,0.0,0,6.0
Alejandro Garnacho,Man Utd,19,AM(L),12,0,0,0,0,0.0,1.0,0.0,0,5.98
Hannibal Mejbri,Man Utd,20,AM(C),68,0,0,2,0,0.5,0.81,0.0,0,5.97
