name,team,number,position,min,goal,assist,yellow,red,shot,pass,aer,mom,rating
Kieran Trippier,Newcastle,32,"D(LR),M(R)",430,2,0,0,0,0.3,0.65,1.7,1,7.38
Allan Saint Maximin,Newcastle,26,"AM(CLR),FW",2812,5,5,6,0,1.8,0.763,0.5,6,7.09
Conor Gallagher,Crystal Palace,23,AM(C),2851,8,3,10,0,1.5,0.812,0.7,4,7.09
Bruno Guimarães,Newcastle,25,DMC,1034,5,1,4,0,1.4,0.857,0.2,4,7.04
Matt Targett,Newcastle,27,"D(L),M(L)",1440,0,0,1,0,0.4,0.7440000000000001,1.2,1,6.99
Wilfried Zaha,Crystal Palace,30,"AM(LR),FW",2761,14,1,4,1,2.1,0.799,0.4,5,6.99
Dan Burn,Newcastle,31,"D(CL),M(L)",1440,0,1,4,0,0.7,0.7829999999999999,4.3,0,6.98
James McArthur,Crystal Palace,35,M(CLR),1438,0,3,4,0,0.4,0.831,1.0,0,6.83
Joelinton,Newcastle,27,"AM(CLR),FW",2559,4,1,8,0,1.3,0.7759999999999999,2.8,3,6.82
Marc Guéhi,Crystal Palace,23,D(C),3223,2,1,4,0,0.5,0.8740000000000001,1.9,0,6.77
Tyrick Mitchell,Crystal Palace,23,D(L),3103,0,2,1,0,0.1,0.7190000000000001,0.8,1,6.75
Cheikhou Kouyaté,Crystal Palace,33,"D(CR),DMC",1978,0,1,3,0,0.3,0.82,1.9,0,6.74
Jeffrey Schlupp,Crystal Palace,30,"D(L),M(CLR)",1846,4,1,1,0,1.0,0.763,1.0,1,6.73
Joel Ward,Crystal Palace,33,"D(CLR),DMC,M(R)",2486,0,0,8,0,0.4,0.792,2.1,0,6.72
Chris Wood,Newcastle,31,FW,1328,2,0,0,0,1.2,0.525,6.6,0,6.72
Fabian Schär,Newcastle,31,D(C),2161,2,2,4,0,0.8,0.696,1.8,1,6.7
Vicente Guaita,Crystal Palace,36,GK,2656,0,0,2,0,0.0,0.7490000000000001,0.3,1,6.7
Jordan Ayew,Crystal Palace,31,"AM(CLR),FW",2024,3,3,2,0,1.1,0.836,1.0,0,6.68
Joachim Andersen,Crystal Palace,27,D(C),2915,0,3,4,0,0.2,0.816,1.6,0,6.67
Martin Dúbravka,Newcastle,34,GK,2340,0,0,1,0,0.0,0.594,0.2,1,6.66
Michael Olise,Crystal Palace,21,AM(CLR),1138,2,5,4,0,0.7,0.8140000000000001,0.3,1,6.66
Odsonne Édouard,Crystal Palace,25,"AM(L),FW",1567,6,3,4,0,1.4,0.737,1.4,0,6.66
Christian Benteke,Crystal Palace,32,FW,1136,4,1,3,0,1.6,0.644,3.4,3,6.66
Jean Philippe Mateta,Crystal Palace,26,FW,1152,5,1,2,0,1.7,0.6779999999999999,1.8,1,6.64
Emil Krafth,Newcastle,29,D(CR),1638,0,1,5,0,0.3,0.733,1.1,0,6.59
Joe Willock,Newcastle,23,M(C),2047,2,0,0,0,1.2,0.816,0.6,1,6.58
Callum Wilson,Newcastle,31,FW,1395,8,0,4,0,1.9,0.682,1.6,3,6.57
Jonjo Shelvey,Newcastle,31,M(C),1986,2,1,5,1,1.3,0.813,0.4,1,6.57
Nathaniel Clyne,Crystal Palace,32,"D(LR),M(R)",1351,0,1,1,0,0.2,0.792,0.6,0,6.57
Will Hughes,Crystal Palace,28,M(CLR),1058,0,1,6,0,0.4,0.856,0.7,0,6.53
Eberechi Eze,Crystal Palace,25,AM(CLR),603,1,1,1,0,0.8,0.8240000000000001,0.5,0,6.52
Paul Dummett,Newcastle,31,D(CL),194,0,0,2,0,0.0,0.731,1.7,0,6.52
Jamaal Lascelles,Newcastle,29,D(C),2055,1,0,5,0,0.7,0.746,3.4,0,6.5
Javier Manquillo,Newcastle,29,"D(LR),M(R)",1267,1,2,5,0,0.2,0.73,0.8,0,6.48
Ryan Fraser,Newcastle,29,"M(CLR),FW",1471,2,3,3,0,0.9,0.775,0.2,0,6.45
Jack Butland,Crystal Palace,30,GK,765,0,0,0,0,0.0,0.7040000000000001,0.1,1,6.45
Miguel Almirón,Newcastle,29,"AM(CLR),FW",1721,1,0,2,0,1.1,0.816,0.2,0,6.45
Isaac Hayden,Newcastle,28,"D(C),DMC",1003,1,0,5,0,0.4,0.7859999999999999,1.4,0,6.44
Luka Milivojevic,Crystal Palace,32,DMC,776,0,0,1,0,0.5,0.856,0.9,0,6.44
James Tomkins,Crystal Palace,34,D(CR),546,1,0,2,0,0.5,0.865,1.3,0,6.42
Matt Ritchie,Newcastle,33,"D(L),M(CLR)",1335,0,2,5,0,0.6,0.78,0.8,0,6.4
Sean Longstaff,Newcastle,25,DMC,1461,1,1,1,0,0.6,0.81,0.5,1,6.39
