name,team,number,position,min,goal,assist,yellow,red,shot,pass,aer,mom,rating
Moisés Caicedo,Brighton,21,DMC,664,1,1,2,0,1.3,0.821,1.1,0,7.07
Bukayo Saka,Arsenal,21,"D(L),M(CLR)",2996,11,7,6,0,2.6,0.795,0.6,3,7.06
Yves Bissouma,Brighton,26,M(C),2117,1,2,10,0,0.8,0.892,0.6,2,6.99
Thomas Partey,Arsenal,30,"D(R),M(CR)",2032,2,1,5,0,1.8,0.856,1.0,1,6.96
Marc Cucurella,Brighton,25,"D(CL),M(L)",3092,1,1,6,0,0.5,0.82,1.1,1,6.94
Jason Steele,Brighton,32,GK,90,0,0,0,0,0.0,0.889,1.0,0,6.92
Martin Ødegaard,Arsenal,24,AM(CR),2793,7,4,4,0,1.5,0.86,0.4,1,6.91
Leandro Trossard,Brighton,28,"M(CLR),FW",2812,8,3,2,0,2.2,0.779,0.3,5,6.9
Shane Duffy,Brighton,31,D(C),1434,1,0,7,0,1.2,0.8740000000000001,3.6,2,6.88
Gabriel Martinelli,Arsenal,22,"AM(L),FW",1866,6,6,1,1,1.8,0.797,0.6,1,6.86
Takehiro Tomiyasu,Arsenal,24,D(CLR),1682,0,1,2,0,0.5,0.8109999999999999,2.2,1,6.83
Dan Burn,Brighton,31,"D(CL),M(L)",1023,1,0,4,0,0.5,0.818,2.5,0,6.8
Joël Veltman,Brighton,31,"D(CR),M(R)",2881,1,1,6,0,0.4,0.797,1.7,2,6.8
Pascal Groß,Brighton,32,"D(R),M(CR),FW",2043,2,4,1,0,0.8,0.828,0.5,1,6.79
Ben White,Arsenal,25,"D(CR),DMC",2880,0,0,3,0,0.4,0.846,1.9,1,6.78
Kieran Tierney,Arsenal,26,"D(CL),M(L)",1919,1,3,0,0,0.7,0.825,0.5,0,6.77
Alexis Mac Allister,Brighton,24,"M(CL),FW",2118,5,2,4,0,1.8,0.8440000000000001,0.8,1,6.75
Gabriel Magalhães,Arsenal,25,D(C),3068,5,0,6,1,0.8,0.895,1.6,1,6.74
Emile Smith Rowe,Arsenal,23,AM(CL),1922,10,2,1,0,1.2,0.8740000000000001,0.2,1,6.74
Pierre Emerick Aubameyang,Arsenal,34,"M(CLR),FW",1040,4,1,3,0,2.5,0.701,1.8,1,6.74
Alexandre Lacazette,Arsenal,32,"M(CLR),FW",1789,4,7,0,0,1.5,0.764,0.7,2,6.74
Lewis Dunk,Brighton,31,D(C),2574,1,0,2,1,0.7,0.884,2.8,1,6.73
Adam Webster,Brighton,28,D(C),1432,2,0,5,0,0.4,0.81,2.5,2,6.72
Danny Welbeck,Brighton,32,"AM(CLR),FW",1477,6,2,0,0,1.7,0.777,1.9,0,6.69
Granit Xhaka,Arsenal,30,"D(L),M(C)",2331,1,2,10,1,1.0,0.868,1.0,1,6.67
Enock Mwepu,Brighton,25,M(CR),997,2,4,2,0,1.1,0.745,0.5,2,6.66
Pablo Marí,Arsenal,29,D(C),180,0,0,1,0,0.5,0.8590000000000001,2.5,0,6.65
Aaron Ramsdale,Arsenal,25,GK,3060,0,0,1,0,0.0,0.626,0.2,2,6.65
Robert Sánchez,Brighton,25,GK,3330,0,0,4,1,0.0,0.674,0.5,0,6.63
Eddie Nketiah,Arsenal,24,FW,825,5,1,3,0,1.4,0.777,0.4,2,6.6
Solly March,Brighton,29,M(CLR),1739,0,2,1,0,0.6,0.774,0.5,0,6.59
Tariq Lamptey,Brighton,22,"D(R),M(R)",1558,0,2,4,0,0.6,0.858,0.2,0,6.54
Cédric Soares,Arsenal,31,"D(LR),M(R)",1487,1,1,3,0,0.6,0.835,0.6,1,6.53
Albert Sambi Lokonga,Arsenal,23,DMC,1133,0,0,5,0,1.1,0.884,0.8,0,6.51
Adam Lallana,Brighton,35,M(CLR),1561,0,1,4,0,0.8,0.871,0.6,0,6.5
Neal Maupay,Brighton,27,"AM(C),FW",2276,8,2,7,0,1.9,0.778,0.7,0,6.49
Rob Holding,Arsenal,27,D(CR),840,1,0,2,1,0.3,0.868,1.9,1,6.48
Mohamed Elneny,Arsenal,31,DMC,802,0,2,1,0,0.6,0.935,0.4,0,6.46
Jakub Moder,Brighton,24,M(CL),1702,0,3,2,0,1.0,0.746,0.9,0,6.45
Nicolas Pépé,Arsenal,28,"AM(LR),FW",682,1,2,0,0,1.2,0.8370000000000001,0.9,1,6.44
Steven Alzate,Brighton,24,"DMC,M(L)",407,0,0,0,0,0.1,0.875,0.4,0,6.42
Nuno Tavares,Arsenal,23,"D(L),M(L)",1171,1,1,2,0,1.0,0.821,1.1,0,6.42
Bernd Leno,Arsenal,31,GK,360,0,0,0,0,0.0,0.624,0.8,0,6.41
Ainsley Maitland Niles,Arsenal,25,"D(LR),M(CLR)",265,0,0,0,0,0.3,0.77,0.4,0,6.35
Taylor Richards,Brighton,22,AM(C),23,0,0,0,0,0.5,0.778,0.5,0,6.14
Calum Chambers,Arsenal,28,"D(CR),DMC",171,0,0,0,0,1.0,0.8170000000000001,1.0,0,6.13
Aaron Connolly,Brighton,23,FW,155,0,0,0,0,0.5,0.737,0.5,0,6.1
Jürgen Locadia,Brighton,29,"AM(LR),FW",22,0,0,0,0,1.0,1.0,0.0,0,6.04
Reiss Nelson,Arsenal,23,M(LR),19,0,0,0,0,1.0,0.667,0.0,0,6.04
Jeremy Sarmiento,Brighton,21,Forward,45,0,0,0,0,0.0,0.722,0.2,0,6.0
Folarin Balogun,Arsenal,22,FW,70,0,0,0,0,1.5,0.444,0.5,0,5.95
Evan Ferguson,Brighton,18,FW,22,0,0,0,0,0.0,0.8,0.0,0,5.93
Sead Kolasinac,Arsenal,30,"D(CL),DMC,M(L)",91,0,0,1,0,0.0,0.929,0.0,0,5.72
