name,team,number,position,min,goal,assist,yellow,red,shot,pass,aer,mom,rating
John McGinn,Aston Villa,28,M(CR),3092,3,4,8,0,1.2,0.795,0.7,4,7.17
James Ward Prowse,Southampton,28,M(CR),3217,10,5,3,1,1.5,0.863,0.8,4,7.01
Philippe Coutinho,Aston Villa,31,M(CLR),1339,5,3,0,0,2.3,0.833,0.3,1,6.96
Lucas Digne,Aston Villa,30,"D(CL),M(L)",1272,0,4,2,0,0.6,0.812,1.5,1,6.94
Matty Cash,Aston Villa,26,"D(R),M(CLR)",3380,4,3,8,0,1.0,0.7240000000000001,1.1,3,6.91
Ollie Watkins,Aston Villa,27,"AM(LR),FW",2955,11,2,7,0,2.2,0.7090000000000001,1.9,1,6.9
Oriol Romeu,Southampton,31,DMC,2899,2,2,9,0,0.7,0.82,1.9,2,6.87
Kyle Walker Peters,Southampton,26,"D(LR),M(R)",2632,1,2,5,0,0.8,0.813,0.8,3,6.84
Mohammed Salisu,Southampton,24,D(CL),2972,0,0,8,1,0.7,0.779,3.0,3,6.82
Jan Bednarek,Southampton,27,D(C),2633,4,0,10,0,0.6,0.8170000000000001,2.9,2,6.81
Calum Chambers,Aston Villa,28,"D(CR),DMC",829,1,0,1,0,0.3,0.828,2.4,0,6.79
Douglas Luiz,Aston Villa,25,M(C),2720,2,3,7,0,0.7,0.868,0.8,1,6.77
Jacob Ramsey,Aston Villa,22,AM(CLR),2477,6,1,6,0,1.0,0.87,0.5,1,6.77
Emiliano Buendía,Aston Villa,26,"M(CLR),FW",1902,4,6,1,0,1.3,0.816,0.5,4,6.75
Tyrone Mings,Aston Villa,30,D(CL),3188,1,3,11,0,0.6,0.7959999999999999,2.3,2,6.74
Tino Livramento,Southampton,20,D(R),2203,1,1,2,0,0.4,0.7859999999999999,0.9,1,6.73
Ché Adams,Southampton,27,"AM(CL),FW",2043,7,3,0,0,1.6,0.657,2.1,1,6.72
Matt Targett,Aston Villa,27,"D(L),M(L)",1434,1,1,2,0,0.4,0.737,1.9,0,6.71
Fraser Forster,Southampton,35,GK,1710,0,0,1,0,0.0,0.547,0.4,1,6.71
Danny Ings,Aston Villa,31,"AM(C),FW",1906,7,6,4,0,1.6,0.693,0.9,2,6.65
Emiliano Martínez,Aston Villa,30,GK,3240,0,0,4,0,0.0,0.7040000000000001,0.3,0,6.63
Alex McCarthy,Southampton,33,GK,1530,0,0,1,0,0.0,0.565,0.4,0,6.63
Mohamed Elyounoussi,Southampton,29,"AM(CLR),FW",2046,4,2,4,0,1.4,0.7070000000000001,1.3,0,6.62
Nathan Redmond,Southampton,29,"AM(CLR),FW",1834,1,5,0,0,1.0,0.731,0.5,1,6.6
Armando Broja,Southampton,21,FW,1981,6,0,2,0,1.4,0.614,2.8,1,6.59
Kortney Hause,Aston Villa,28,D(CL),397,1,0,0,0,0.3,0.7879999999999999,2.9,1,6.58
Yan Valery,Southampton,24,"D(CR),M(R)",369,0,0,0,0,0.4,0.727,2.2,0,6.57
Stuart Armstrong,Southampton,31,AM(CLR),1470,2,0,1,0,1.5,0.8190000000000001,0.2,0,6.51
Jack Stephens,Southampton,29,D(CR),811,0,0,3,0,0.0,0.774,1.2,0,6.5
Tim Iroegbunam,Aston Villa,20,M(C),91,0,0,1,0,0.3,0.815,1.0,0,6.46
Marvelous Nakamba,Aston Villa,29,DMC,905,0,0,5,0,0.0,0.852,0.6,0,6.45
Ezri Konsa,Aston Villa,25,D(CR),2482,2,0,4,2,0.5,0.8640000000000001,2.0,0,6.43
Ashley Young,Aston Villa,38,"D(LR),M(LR)",1241,0,2,2,0,0.4,0.8,0.3,1,6.43
Romain Perraud,Southampton,25,"D(L),M(L)",1625,0,1,3,0,1.0,0.706,0.8,0,6.41
Leon Bailey,Aston Villa,26,"M(CLR),FW",757,1,2,3,0,1.2,0.7659999999999999,0.6,0,6.4
Ibrahima Diallo,Southampton,24,DMC,1019,0,2,1,0,0.3,0.8059999999999999,0.5,0,6.38
Adam Armstrong,Southampton,26,"AM(CLR),FW",1415,2,2,1,0,2.0,0.7490000000000001,0.6,1,6.38
Lyanco,Southampton,26,D(CR),906,0,0,2,0,0.4,0.722,1.3,0,6.37
Morgan Sanson,Aston Villa,28,M(CLR),352,0,0,0,0,0.1,0.784,0.3,0,6.34
Shane Long,Southampton,36,"AM(LR),FW",303,1,0,1,0,0.7,0.606,1.8,0,6.33
Anwar El Ghazi,Aston Villa,28,"AM(LR),FW",383,1,1,2,0,0.9,0.767,1.1,0,6.33
Bertrand Traoré,Aston Villa,27,"AM(R),FW",213,0,0,0,0,0.9,0.769,0.4,0,6.28
Nathan Tella,Southampton,24,"AM(CLR),FW",811,0,1,2,0,0.9,0.621,0.4,0,6.25
