name,team,number,position,min,goal,assist,yellow,red,shot,pass,aer,mom,rating
John McGinn,Aston Villa,28,M(CR),3092,3,4,8,0,1.2,0.795,0.7,4,7.17
Philippe Coutinho,Aston Villa,31,M(CLR),1339,5,3,0,0,2.3,0.833,0.3,1,6.96
Lucas Digne,Aston Villa,30,"D(CL),M(L)",1272,0,4,2,0,0.6,0.812,1.5,1,6.94
Matty Cash,Aston Villa,26,"D(R),M(CLR)",3380,4,3,8,0,1.0,0.7240000000000001,1.1,3,6.91
Ollie Watkins,Aston Villa,27,"AM(LR),FW",2955,11,2,7,0,2.2,0.7090000000000001,1.9,1,6.9
Calum Chambers,Aston Villa,28,"D(CR),DMC",829,1,0,1,0,0.3,0.828,2.4,0,6.79
Douglas Luiz,Aston Villa,25,M(C),2720,2,3,7,0,0.7,0.868,0.8,1,6.77
Jacob Ramsey,Aston Villa,22,AM(CLR),2477,6,1,6,0,1.0,0.87,0.5,1,6.77
Emiliano Buendía,Aston Villa,26,"M(CLR),FW",1902,4,6,1,0,1.3,0.816,0.5,4,6.75
Tyrone Mings,Aston Villa,30,D(CL),3188,1,3,11,0,0.6,0.7959999999999999,2.3,2,6.74
Grant Hanley,Norwich,31,D(C),2899,1,0,2,0,0.6,0.831,3.1,3,6.73
Matt Targett,Aston Villa,27,"D(L),M(L)",1434,1,1,2,0,0.4,0.737,1.9,0,6.71
Danny Ings,Aston Villa,31,"AM(C),FW",1906,7,6,4,0,1.6,0.693,0.9,2,6.65
Emiliano Martínez,Aston Villa,30,GK,3240,0,0,4,0,0.0,0.7040000000000001,0.3,0,6.63
Dimitris Giannoulis,Norwich,27,"D(L),M(L)",1169,0,1,2,0,0.1,0.765,0.4,0,6.61
Kortney Hause,Aston Villa,28,D(CL),397,1,0,0,0,0.3,0.7879999999999999,2.9,1,6.58
Angus Gunn,Norwich,27,GK,810,0,0,0,0,0.0,0.628,0.2,0,6.56
Mathias Normann,Norwich,27,M(C),1653,1,2,6,0,1.1,0.718,1.2,1,6.56
Brandon Williams,Norwich,22,"D(L),M(L)",2123,0,1,8,0,0.2,0.818,0.5,0,6.54
Andrew Omobamidele,Norwich,21,D(C),381,1,0,1,0,0.4,0.841,1.0,0,6.53
Pierre Lees Melou,Norwich,30,M(CLR),2273,1,0,5,0,1.0,0.7959999999999999,0.4,0,6.48
Teemu Pukki,Norwich,33,"AM(C),FW",3261,11,3,4,0,1.9,0.752,0.4,1,6.47
Tim Iroegbunam,Aston Villa,20,M(C),91,0,0,1,0,0.3,0.815,1.0,0,6.46
Sam Byram,Norwich,29,"D(CLR),M(R)",1024,0,0,3,0,0.5,0.7709999999999999,1.9,0,6.46
Marvelous Nakamba,Aston Villa,29,DMC,905,0,0,5,0,0.0,0.852,0.6,0,6.45
Kenny McLean,Norwich,31,M(C),2707,1,0,3,0,1.1,0.745,2.2,0,6.44
Max Aarons,Norwich,23,D(R),2882,0,2,8,0,0.4,0.772,0.4,0,6.44
Ezri Konsa,Aston Villa,25,D(CR),2482,2,0,4,2,0.5,0.8640000000000001,2.0,0,6.43
Ashley Young,Aston Villa,38,"D(LR),M(LR)",1241,0,2,2,0,0.4,0.8,0.3,1,6.43
Tim Krul,Norwich,35,GK,2610,0,0,1,0,0.0,0.654,0.2,0,6.42
Milot Rashica,Norwich,27,"AM(CLR),FW",2240,1,2,0,0,1.4,0.708,0.4,0,6.42
Leon Bailey,Aston Villa,26,"M(CLR),FW",757,1,2,3,0,1.2,0.7659999999999999,0.6,0,6.4
Billy Gilmour,Norwich,22,DMC,1858,0,1,2,0,0.8,0.8370000000000001,0.5,0,6.39
Ozan Kabak,Norwich,23,D(C),925,0,0,2,0,0.4,0.8140000000000001,2.0,0,6.36
Ben Gibson,Norwich,30,D(CL),2495,0,0,3,1,0.3,0.813,1.9,0,6.35
Adam Idah,Norwich,22,"AM(L),FW",620,1,1,0,0,0.8,0.674,0.9,1,6.35
Morgan Sanson,Aston Villa,28,M(CLR),352,0,0,0,0,0.1,0.784,0.3,0,6.34
Jacob Sørensen,Norwich,25,"D(CL),DMC",601,0,0,0,0,0.5,0.815,1.1,0,6.34
Josh Sargent,Norwich,23,"AM(CLR),FW",1579,2,1,1,0,0.9,0.728,1.5,1,6.33
Anwar El Ghazi,Aston Villa,28,"AM(LR),FW",383,1,1,2,0,0.9,0.767,1.1,0,6.33
