name,team,number,position,min,goal,assist,yellow,red,shot,pass,aer,mom,rating
Conor Gallagher,Crystal Palace,23,AM(C),2851,8,3,10,0,1.5,0.812,0.7,4,7.09
Wilfried Zaha,Crystal Palace,30,"AM(LR),FW",2761,14,1,4,1,2.1,0.799,0.4,5,6.99
Emmanuel Dennis,Watford,25,"M(LR),FW",2591,10,6,7,1,1.8,0.6829999999999999,1.4,2,6.89
Hassane Kamara,Watford,29,"D(L),M(LR)",1625,1,0,3,1,0.3,0.705,1.6,0,6.86
James McArthur,Crystal Palace,35,M(CLR),1438,0,3,4,0,0.4,0.831,1.0,0,6.83
João Pedro,Watford,21,"AM(CL),FW",1639,3,1,1,0,1.7,0.6990000000000001,2.0,0,6.78
Marc Guéhi,Crystal Palace,23,D(C),3223,2,1,4,0,0.5,0.8740000000000001,1.9,0,6.77
Tyrick Mitchell,Crystal Palace,23,D(L),3103,0,2,1,0,0.1,0.7190000000000001,0.8,1,6.75
Cheikhou Kouyaté,Crystal Palace,33,"D(CR),DMC",1978,0,1,3,0,0.3,0.82,1.9,0,6.74
Jeffrey Schlupp,Crystal Palace,30,"D(L),M(CLR)",1846,4,1,1,0,1.0,0.763,1.0,1,6.73
Francisco Sierralta,Watford,26,D(C),428,0,0,0,0,0.2,0.78,3.0,0,6.72
Joel Ward,Crystal Palace,33,"D(CLR),DMC,M(R)",2486,0,0,8,0,0.4,0.792,2.1,0,6.72
Joshua King,Watford,31,"AM(CLR),FW",2251,5,3,5,0,1.6,0.7290000000000001,3.1,2,6.7
Vicente Guaita,Crystal Palace,36,GK,2656,0,0,2,0,0.0,0.7490000000000001,0.3,1,6.7
Moussa Sissoko,Watford,33,M(CR),3221,2,1,5,0,0.7,0.7829999999999999,1.8,0,6.7
Jordan Ayew,Crystal Palace,31,"AM(CLR),FW",2024,3,3,2,0,1.1,0.836,1.0,0,6.68
Joachim Andersen,Crystal Palace,27,D(C),2915,0,3,4,0,0.2,0.816,1.6,0,6.67
Michael Olise,Crystal Palace,21,AM(CLR),1138,2,5,4,0,0.7,0.8140000000000001,0.3,1,6.66
Odsonne Édouard,Crystal Palace,25,"AM(L),FW",1567,6,3,4,0,1.4,0.737,1.4,0,6.66
Christian Benteke,Crystal Palace,32,FW,1136,4,1,3,0,1.6,0.644,3.4,3,6.66
Adam Masina,Watford,29,"D(CL),M(L)",1077,0,1,0,0,0.3,0.6970000000000001,1.9,0,6.66
Juraj Kucka,Watford,36,M(CLR),1924,1,1,3,1,1.8,0.687,2.2,1,6.64
Jean Philippe Mateta,Crystal Palace,26,FW,1152,5,1,2,0,1.7,0.6779999999999999,1.8,1,6.64
Ismaïla Sarr,Watford,25,"AM(CLR),FW",1865,5,2,2,0,1.8,0.775,0.5,1,6.58
Daniel Bachmann,Watford,29,GK,1080,0,0,0,0,0.0,0.5429999999999999,0.2,0,6.58
Nathaniel Clyne,Crystal Palace,32,"D(LR),M(R)",1351,0,1,1,0,0.2,0.792,0.6,0,6.57
Imrân Louza,Watford,24,M(CLR),1423,0,0,6,0,0.9,0.775,0.6,0,6.55
Samir,Watford,28,D(CL),1676,0,0,4,0,0.4,0.807,2.5,0,6.53
Will Hughes,Crystal Palace,28,M(CLR),1058,0,1,6,0,0.4,0.856,0.7,0,6.53
Eberechi Eze,Crystal Palace,25,AM(CLR),603,1,1,1,0,0.8,0.8240000000000001,0.5,0,6.52
Cucho Hernández,Watford,24,"AM(LR),FW",1143,5,2,3,0,1.4,0.6559999999999999,1.3,2,6.52
Edo Kayembe,Watford,25,DMC,801,0,0,0,0,0.5,0.8590000000000001,1.0,0,6.48
Nicolas Nkoulou,Watford,33,D(C),168,0,0,0,0,0.0,0.877,0.7,0,6.47
Kiko Femenía,Watford,32,"D(LR),M(R)",2150,0,5,2,0,0.1,0.737,0.4,0,6.46
Jeremy Ngakia,Watford,22,"D(R),M(R)",900,0,0,0,0,0.3,0.738,1.0,0,6.45
Dan Gosling,Watford,33,"D(R),M(C)",165,1,0,0,0,0.5,0.857,1.3,0,6.45
Jack Butland,Crystal Palace,30,GK,765,0,0,0,0,0.0,0.7040000000000001,0.1,1,6.45
Danny Rose,Watford,33,"D(L),M(L)",689,0,0,4,0,0.5,0.6829999999999999,0.5,0,6.44
Luka Milivojevic,Crystal Palace,32,DMC,776,0,0,1,0,0.5,0.856,0.9,0,6.44
James Tomkins,Crystal Palace,34,D(CR),546,1,0,2,0,0.5,0.865,1.3,0,6.42
Craig Cathcart,Watford,34,D(CR),2396,0,1,3,0,0.1,0.813,1.5,0,6.39
Christian Kabasele,Watford,32,D(C),1191,0,0,0,0,0.4,0.785,2.9,0,6.37
Peter Etebo,Watford,27,"M(CL),FW",398,0,0,3,0,0.3,0.909,0.3,0,6.31
Tom Cleverley,Watford,34,M(CLR),1626,0,2,2,0,0.4,0.765,0.5,0,6.31
Ken Sema,Watford,29,"D(L),M(CLR)",846,0,0,1,0,0.2,0.649,0.7,0,6.29
Ben Foster,Watford,40,GK,2340,0,1,0,0,0.0,0.44,0.2,1,6.27
William Troost Ekong,Watford,29,D(C),1388,0,0,3,0,0.1,0.772,1.4,0,6.27
Samuel Kalu,Watford,25,M(CLR),222,0,0,0,0,1.0,0.885,0.0,0,6.25
Troy Deeney,Watford,35,FW,23,0,0,0,0,1.0,0.429,3.0,0,6.19
Jesurun Rak Sakyi,Crystal Palace,20,AM(R),81,0,0,0,0,0.0,0.875,0.0,0,6.15
Jairo Riedewald,Crystal Palace,26,"D(CL),DMC",117,0,0,0,0,0.0,0.8490000000000001,0.0,0,6.12
Ozan Tufan,Watford,28,"D(R),M(CR),FW",338,0,0,0,0,0.4,0.7390000000000001,0.4,0,6.1
Ashley Fletcher,Watford,27,"AM(CL),FW",28,0,0,0,0,0.7,0.5,0.3,0,6.05
Nathan Ferguson,Crystal Palace,22,D(LR),8,0,0,0,0,0.0,0.33299999999999996,0.0,0,5.98
