name,team,number,position,min,goal,assist,yellow,red,shot,pass,aer,mom,rating
Kevin De Bruyne,Man City,32,"M(CLR),FW",2205,15,8,2,0,2.6,0.825,0.4,4,7.63
Mohamed Salah,Liverpool,31,"AM(CLR),FW",2763,23,13,1,0,4.0,0.799,0.2,7,7.54
Trent Alexander Arnold,Liverpool,24,"D(R),DMC,M(R)",2854,2,12,2,0,1.6,0.7809999999999999,0.5,5,7.52
Luis Díaz,Liverpool,26,AM(L),964,4,3,0,0,2.9,0.877,1.2,1,7.44
Rodri,Man City,27,"D(C),DMC",2887,7,2,5,0,1.4,0.9179999999999999,2.6,4,7.43
João Cancelo,Man City,29,"D(LR),M(R)",3228,1,7,7,0,2.3,0.853,1.6,5,7.42
Joël Matip,Liverpool,32,D(C),2790,3,3,2,0,1.1,0.885,3.5,5,7.36
Sadio Mané,Liverpool,31,"AM(CLR),FW",2825,16,2,5,0,2.9,0.773,0.9,3,7.3
Phil Foden,Man City,23,"AM(CLR),FW",2133,9,5,1,0,2.0,0.8740000000000001,0.2,1,7.29
Bernardo Silva,Man City,29,"M(CLR),FW",2861,8,4,6,0,1.3,0.8959999999999999,0.2,3,7.27
Ilkay Gündogan,Man City,32,M(C),1856,8,4,1,0,2.0,0.912,0.4,1,7.24
Ferran Torres,Man City,23,"AM(LR),FW",305,2,1,0,0,3.3,0.7709999999999999,1.0,1,7.23
Andy Robertson,Liverpool,29,"D(L),M(L)",2541,3,10,5,1,0.6,0.852,0.9,2,7.23
Raheem Sterling,Man City,28,"M(CLR),FW",2127,13,5,1,0,1.9,0.8540000000000001,0.1,4,7.2
Gabriel Jesus,Man City,26,"AM(LR),FW",1880,8,8,1,0,2.3,0.848,0.8,6,7.19
Virgil van Dijk,Liverpool,32,D(C),3060,3,1,3,0,1.0,0.895,3.4,0,7.18
Jack Grealish,Man City,27,"AM(CL),FW",1917,3,3,3,0,1.7,0.884,0.5,0,7.16
Zack Steffen,Man City,28,GK,90,0,0,0,0,0.0,0.848,0.0,0,7.16
John Stones,Man City,29,"D(CR),DMC",1118,1,0,0,0,0.6,0.915,3.4,0,7.1
Thiago Alcântara,Liverpool,32,M(C),1538,1,4,2,0,1.0,0.8909999999999999,1.3,0,7.1
Diogo Jota,Liverpool,26,"AM(CLR),FW",2373,15,4,3,0,2.6,0.7490000000000001,1.1,4,7.09
Oleksandr Zinchenko,Man City,26,"D(L),M(CLR)",1045,0,4,0,0,0.8,0.907,1.0,0,7.05
Kostas Tsimikas,Liverpool,27,D(L),874,0,2,3,0,0.6,0.813,0.9,0,7.04
Caoimhín Kelleher,Liverpool,24,GK,180,0,0,0,0,0.0,0.897,0.5,0,7.02
Fabinho,Liverpool,29,"D(CR),DMC",2316,5,1,7,0,0.7,0.875,1.5,1,7.0
Riyad Mahrez,Man City,32,"AM(CLR),FW",1493,11,5,0,0,2.2,0.9,0.3,2,7.0
Rúben Dias,Man City,26,D(C),2404,2,4,5,0,0.6,0.934,1.8,1,6.95
Nathan Aké,Man City,28,"D(CL),DMC",921,2,0,0,0,0.4,0.9079999999999999,2.6,0,6.92
Aymeric Laporte,Man City,29,D(CL),2836,4,0,5,1,1.1,0.948,1.6,0,6.9
Neco Williams,Liverpool,22,"D(LR),M(LR)",7,0,1,0,0,0.0,1.0,0.0,0,6.9
Ibrahima Konaté,Liverpool,24,D(C),990,0,0,2,0,0.4,0.8809999999999999,3.1,0,6.89
Alisson Becker,Liverpool,30,GK,3240,0,1,0,0,0.0,0.855,0.4,1,6.88
Jordan Henderson,Liverpool,33,"D(C),M(CLR)",2604,2,5,3,0,0.9,0.855,0.5,0,6.87
Curtis Jones,Liverpool,22,AM(CL),856,1,1,0,0,1.3,0.905,0.5,0,6.86
Roberto Firmino,Liverpool,31,"M(CLR),FW",987,5,4,3,0,1.5,0.7879999999999999,0.7,1,6.85
Naby Keïta,Liverpool,28,M(C),1175,3,1,3,0,1.1,0.86,0.3,0,6.79
Kyle Walker,Man City,33,"D(CR),M(R)",1756,0,2,1,0,0.4,0.903,1.0,0,6.72
Fernandinho,Man City,38,"D(CR),DMC",960,2,1,1,0,0.9,0.888,1.2,0,6.7
Ederson,Man City,29,GK,3330,0,0,3,0,0.0,0.888,0.3,0,6.69
James Milner,Liverpool,37,"D(LR),M(CLR)",851,0,1,2,0,0.4,0.86,0.5,0,6.6
Divock Origi,Liverpool,28,"AM(LR),FW",127,3,0,0,0,1.4,0.757,0.3,0,6.6
Benjamin Mendy,Man City,29,"D(L),DMC,M(L)",79,0,0,0,0,0.0,0.922,0.0,0,6.6
Harvey Elliott,Liverpool,20,AM(CR),346,0,0,0,0,1.7,0.8420000000000001,0.3,0,6.57
Joe Gomez,Liverpool,26,D(CLR),331,0,1,2,0,0.1,0.833,1.3,0,6.56
Alex Oxlade Chamberlain,Liverpool,29,M(CLR),787,2,1,0,0,1.2,0.823,0.3,0,6.55
Liam Delap,Man City,20,FW,9,0,0,0,0,0.0,1.0,0.0,0,6.49
Cole Palmer,Man City,21,AM(C),122,0,0,0,0,1.0,0.902,0.5,0,6.43
CJ Egan Riley,Man City,20,"D(R),DMC",3,0,0,0,0,0.0,1.0,0.0,0,6.38
Takumi Minamino,Liverpool,28,"AM(CLR),FW",179,3,0,1,0,0.6,0.853,0.1,1,6.38
James McAtee,Man City,20,AM(C),19,0,0,0,0,0.5,0.6920000000000001,0.5,0,6.13
Tyler Morton,Liverpool,20,DMC,66,0,0,1,0,0.0,0.857,1.0,0,6.13
Kayky,Man City,20,AM(R),6,0,0,0,0,0.0,1.0,0.0,0,6.09
Kaide Gordon,Liverpool,18,Forward,8,0,0,0,0,1.0,1.0,0.0,0,6.08
