name,team,number,position,min,goal,assist,yellow,red,shot,pass,aer,mom,rating
Mohamed Salah,Liverpool,31,"AM(CLR),FW",2763,23,13,1,0,4.0,0.799,0.2,7,7.54
Trent Alexander Arnold,Liverpool,24,"D(R),DMC,M(R)",2854,2,12,2,0,1.6,0.7809999999999999,0.5,5,7.52
Luis Díaz,Liverpool,26,AM(L),964,4,3,0,0,2.9,0.877,1.2,1,7.44
Joël Matip,Liverpool,32,D(C),2790,3,3,2,0,1.1,0.885,3.5,5,7.36
Sadio Mané,Liverpool,31,"AM(CLR),FW",2825,16,2,5,0,2.9,0.773,0.9,3,7.3
Andy Robertson,Liverpool,29,"D(L),M(L)",2541,3,10,5,1,0.6,0.852,0.9,2,7.23
Virgil van Dijk,Liverpool,32,D(C),3060,3,1,3,0,1.0,0.895,3.4,0,7.18
Thiago Alcântara,Liverpool,32,M(C),1538,1,4,2,0,1.0,0.8909999999999999,1.3,0,7.1
Diogo Jota,Liverpool,26,"AM(CLR),FW",2373,15,4,3,0,2.6,0.7490000000000001,1.1,4,7.09
Kostas Tsimikas,Liverpool,27,D(L),874,0,2,3,0,0.6,0.813,0.9,0,7.04
Caoimhín Kelleher,Liverpool,24,GK,180,0,0,0,0,0.0,0.897,0.5,0,7.02
Fabinho,Liverpool,29,"D(CR),DMC",2316,5,1,7,0,0.7,0.875,1.5,1,7.0
Neco Williams,Liverpool,22,"D(LR),M(LR)",7,0,1,0,0,0.0,1.0,0.0,0,6.9
Ibrahima Konaté,Liverpool,24,D(C),990,0,0,2,0,0.4,0.8809999999999999,3.1,0,6.89
Alisson Becker,Liverpool,30,GK,3240,0,1,0,0,0.0,0.855,0.4,1,6.88
Jordan Henderson,Liverpool,33,"D(C),M(CLR)",2604,2,5,3,0,0.9,0.855,0.5,0,6.87
Curtis Jones,Liverpool,22,AM(CL),856,1,1,0,0,1.3,0.905,0.5,0,6.86
Roberto Firmino,Liverpool,31,"M(CLR),FW",987,5,4,3,0,1.5,0.7879999999999999,0.7,1,6.85
Naby Keïta,Liverpool,28,M(C),1175,3,1,3,0,1.1,0.86,0.3,0,6.79
Grant Hanley,Norwich,31,D(C),2899,1,0,2,0,0.6,0.831,3.1,3,6.73
Dimitris Giannoulis,Norwich,27,"D(L),M(L)",1169,0,1,2,0,0.1,0.765,0.4,0,6.61
James Milner,Liverpool,37,"D(LR),M(CLR)",851,0,1,2,0,0.4,0.86,0.5,0,6.6
Divock Origi,Liverpool,28,"AM(LR),FW",127,3,0,0,0,1.4,0.757,0.3,0,6.6
Harvey Elliott,Liverpool,20,AM(CR),346,0,0,0,0,1.7,0.8420000000000001,0.3,0,6.57
Angus Gunn,Norwich,27,GK,810,0,0,0,0,0.0,0.628,0.2,0,6.56
Joe Gomez,Liverpool,26,D(CLR),331,0,1,2,0,0.1,0.833,1.3,0,6.56
Mathias Normann,Norwich,27,M(C),1653,1,2,6,0,1.1,0.718,1.2,1,6.56
Alex Oxlade Chamberlain,Liverpool,29,M(CLR),787,2,1,0,0,1.2,0.823,0.3,0,6.55
Brandon Williams,Norwich,22,"D(L),M(L)",2123,0,1,8,0,0.2,0.818,0.5,0,6.54
Andrew Omobamidele,Norwich,21,D(C),381,1,0,1,0,0.4,0.841,1.0,0,6.53
Pierre Lees Melou,Norwich,30,M(CLR),2273,1,0,5,0,1.0,0.7959999999999999,0.4,0,6.48
Teemu Pukki,Norwich,33,"AM(C),FW",3261,11,3,4,0,1.9,0.752,0.4,1,6.47
Sam Byram,Norwich,29,"D(CLR),M(R)",1024,0,0,3,0,0.5,0.7709999999999999,1.9,0,6.46
Kenny McLean,Norwich,31,M(C),2707,1,0,3,0,1.1,0.745,2.2,0,6.44
Max Aarons,Norwich,23,D(R),2882,0,2,8,0,0.4,0.772,0.4,0,6.44
Tim Krul,Norwich,35,GK,2610,0,0,1,0,0.0,0.654,0.2,0,6.42
Milot Rashica,Norwich,27,"AM(CLR),FW",2240,1,2,0,0,1.4,0.708,0.4,0,6.42
Billy Gilmour,Norwich,22,DMC,1858,0,1,2,0,0.8,0.8370000000000001,0.5,0,6.39
Takumi Minamino,Liverpool,28,"AM(CLR),FW",179,3,0,1,0,0.6,0.853,0.1,1,6.38
Ozan Kabak,Norwich,23,D(C),925,0,0,2,0,0.4,0.8140000000000001,2.0,0,6.36
Ben Gibson,Norwich,30,D(CL),2495,0,0,3,1,0.3,0.813,1.9,0,6.35
Adam Idah,Norwich,22,"AM(L),FW",620,1,1,0,0,0.8,0.674,0.9,1,6.35
Jacob Sørensen,Norwich,25,"D(CL),DMC",601,0,0,0,0,0.5,0.815,1.1,0,6.34
Josh Sargent,Norwich,23,"AM(CLR),FW",1579,2,1,1,0,0.9,0.728,1.5,1,6.33
Lukas Rupp,Norwich,32,M(CR),764,0,0,0,0,0.6,0.833,0.3,0,6.24
Todd Cantwell,Norwich,25,AM(CLR),441,0,0,2,0,0.6,0.841,0.4,0,6.23
Kieran Dowell,Norwich,25,AM(CLR),913,1,1,0,0,0.4,0.73,0.4,0,6.22
Przemyslaw Placheta,Norwich,25,AM(LR),506,0,0,1,0,0.7,0.742,0.1,0,6.2
Jonathan Rowe,Norwich,20,Forward,211,0,1,0,0,0.2,0.7120000000000001,0.1,0,6.17
Tyler Morton,Liverpool,20,DMC,66,0,0,1,0,0.0,0.857,1.0,0,6.13
Christoph Zimmermann,Norwich,30,D(C),158,0,0,0,0,0.7,0.73,0.7,0,6.09
Kaide Gordon,Liverpool,18,Forward,8,0,0,0,0,1.0,1.0,0.0,0,6.08
Christos Tzolis,Norwich,21,AM(L),330,0,0,0,0,0.4,0.75,0.2,0,6.06
Bali Mumba,Norwich,21,M(LR),45,0,0,0,0,0.0,0.778,0.0,0,6.05
Tony Springett,Norwich,20,Forward,141,0,0,1,0,0.3,0.667,0.3,0,5.97
