name,team,number,position,min,goal,assist,yellow,red,shot,pass,aer,mom,rating
Conor Gallagher,Crystal Palace,23,AM(C),2851,8,3,10,0,1.5,0.812,0.7,4,7.09
Toti,Wolves,24,D(CL),360,0,0,1,0,0.3,0.7559999999999999,3.3,0,7.01
Wilfried Zaha,Crystal Palace,30,"AM(LR),FW",2761,14,1,4,1,2.1,0.799,0.4,5,6.99
Rayan Aït Nouri,Wolves,22,"D(L),M(L)",1828,1,2,4,0,0.6,0.767,0.7,1,6.96
Adama Traoré,Wolves,27,"M(CLR),FW",1065,1,0,0,0,1.2,0.779,0.8,4,6.94
Maximilian Kilman,Wolves,26,D(C),2689,1,0,3,0,0.4,0.858,2.2,1,6.87
Rúben Neves,Wolves,26,DMC,2663,4,2,9,0,1.3,0.84,0.6,2,6.85
Romain Saïss,Wolves,33,"D(C),DMC",2709,2,0,6,0,0.6,0.8009999999999999,2.4,1,6.85
James McArthur,Crystal Palace,35,M(CLR),1438,0,3,4,0,0.4,0.831,1.0,0,6.83
José Sá,Wolves,30,GK,3286,0,1,3,0,0.0,0.63,0.4,5,6.83
Nélson Semedo,Wolves,29,"D(LR),M(R)",2137,0,1,1,0,0.8,0.774,0.6,0,6.82
Daniel Podence,Wolves,27,"AM(CLR),FW",1486,2,3,2,0,1.3,0.741,0.1,0,6.78
Marc Guéhi,Crystal Palace,23,D(C),3223,2,1,4,0,0.5,0.8740000000000001,1.9,0,6.77
Marçal,Wolves,34,"D(CL),M(L)",1453,0,0,3,0,0.6,0.777,1.4,0,6.75
Tyrick Mitchell,Crystal Palace,23,D(L),3103,0,2,1,0,0.1,0.7190000000000001,0.8,1,6.75
Jonny,Wolves,29,"D(CLR),M(LR)",1023,2,0,1,0,0.8,0.83,0.8,0,6.75
Cheikhou Kouyaté,Crystal Palace,33,"D(CR),DMC",1978,0,1,3,0,0.3,0.82,1.9,0,6.74
Jeffrey Schlupp,Crystal Palace,30,"D(L),M(CLR)",1846,4,1,1,0,1.0,0.763,1.0,1,6.73
Joel Ward,Crystal Palace,33,"D(CLR),DMC,M(R)",2486,0,0,8,0,0.4,0.792,2.1,0,6.72
Vicente Guaita,Crystal Palace,36,GK,2656,0,0,2,0,0.0,0.7490000000000001,0.3,1,6.7
João Moutinho,Wolves,36,M(C),2975,2,1,4,0,0.6,0.867,0.4,2,6.69
Jordan Ayew,Crystal Palace,31,"AM(CLR),FW",2024,3,3,2,0,1.1,0.836,1.0,0,6.68
Joachim Andersen,Crystal Palace,27,D(C),2915,0,3,4,0,0.2,0.816,1.6,0,6.67
Michael Olise,Crystal Palace,21,AM(CLR),1138,2,5,4,0,0.7,0.8140000000000001,0.3,1,6.66
Odsonne Édouard,Crystal Palace,25,"AM(L),FW",1567,6,3,4,0,1.4,0.737,1.4,0,6.66
Christian Benteke,Crystal Palace,32,FW,1136,4,1,3,0,1.6,0.644,3.4,3,6.66
Raúl Jiménez,Wolves,32,FW,2640,6,4,5,2,1.7,0.718,1.9,1,6.65
Conor Coady,Wolves,30,"D(CR),DMC",3364,4,0,5,0,0.3,0.897,0.8,0,6.65
Jean Philippe Mateta,Crystal Palace,26,FW,1152,5,1,2,0,1.7,0.6779999999999999,1.8,1,6.64
Willy Boly,Wolves,32,D(C),900,0,0,1,0,0.2,0.84,2.0,0,6.6
Trincão,Wolves,23,AM(CR),1340,2,1,0,0,1.1,0.8079999999999999,0.2,1,6.57
Nathaniel Clyne,Crystal Palace,32,"D(LR),M(R)",1351,0,1,1,0,0.2,0.792,0.6,0,6.57
Will Hughes,Crystal Palace,28,M(CLR),1058,0,1,6,0,0.4,0.856,0.7,0,6.53
Hwang Hee Chan,Wolves,27,"AM(CLR),FW",1822,5,1,2,0,0.9,0.81,0.3,1,6.52
Eberechi Eze,Crystal Palace,25,AM(CLR),603,1,1,1,0,0.8,0.8240000000000001,0.5,0,6.52
Chiquinho,Wolves,23,AM(R),204,0,3,0,0,0.6,0.733,0.5,0,6.52
Pedro Neto,Wolves,23,"AM(CLR),FW",466,1,1,3,0,1.3,0.8490000000000001,0.2,0,6.46
Jack Butland,Crystal Palace,30,GK,765,0,0,0,0,0.0,0.7040000000000001,0.1,1,6.45
Leander Dendoncker,Wolves,28,"D(C),M(C)",1948,2,2,4,0,0.8,0.8690000000000001,1.0,0,6.44
Luka Milivojevic,Crystal Palace,32,DMC,776,0,0,1,0,0.5,0.856,0.9,0,6.44
James Tomkins,Crystal Palace,34,D(CR),546,1,0,2,0,0.5,0.865,1.3,0,6.42
John Ruddy,Wolves,36,GK,135,0,0,0,0,0.0,0.621,0.5,0,6.4
Luke Cundle,Wolves,21,AM(C),180,0,0,0,0,0.0,0.932,0.0,0,6.34
Ki Jana Hoever,Wolves,21,"D(R),M(R)",307,0,0,1,0,0.1,0.695,0.4,0,6.31
Jesurun Rak Sakyi,Crystal Palace,20,AM(R),81,0,0,0,0,0.0,0.875,0.0,0,6.15
Chem Campbell,Wolves,20,AM(L),12,0,0,0,0,0.0,0.889,0.0,0,6.13
Jairo Riedewald,Crystal Palace,26,"D(CL),DMC",117,0,0,0,0,0.0,0.8490000000000001,0.0,0,6.12
Fábio Silva,Wolves,21,"AM(L),FW",565,0,0,0,0,0.9,0.684,0.4,0,6.09
Nathan Ferguson,Crystal Palace,22,D(LR),8,0,0,0,0,0.0,0.33299999999999996,0.0,0,5.98
Morgan Gibbs White,Wolves,23,"AM(CLR),FW",7,0,0,1,0,1.0,0.778,0.0,0,5.94
