name,team,number,position,min,goal,assist,yellow,red,shot,pass,aer,mom,rating
Mohamed Salah,Liverpool,31,"AM(CLR),FW",2763,23,13,1,0,4.0,0.799,0.2,7,7.54
Trent Alexander Arnold,Liverpool,24,"D(R),DMC,M(R)",2854,2,12,2,0,1.6,0.7809999999999999,0.5,5,7.52
Luis Díaz,Liverpool,26,AM(L),964,4,3,0,0,2.9,0.877,1.2,1,7.44
Joël Matip,Liverpool,32,D(C),2790,3,3,2,0,1.1,0.885,3.5,5,7.36
Sadio Mané,Liverpool,31,"AM(CLR),FW",2825,16,2,5,0,2.9,0.773,0.9,3,7.3
Danny Ward,Leicester,30,GK,90,0,0,0,0,0.0,0.88,0.0,0,7.25
Andy Robertson,Liverpool,29,"D(L),M(L)",2541,3,10,5,1,0.6,0.852,0.9,2,7.23
Virgil van Dijk,Liverpool,32,D(C),3060,3,1,3,0,1.0,0.895,3.4,0,7.18
Thiago Alcântara,Liverpool,32,M(C),1538,1,4,2,0,1.0,0.8909999999999999,1.3,0,7.1
Diogo Jota,Liverpool,26,"AM(CLR),FW",2373,15,4,3,0,2.6,0.7490000000000001,1.1,4,7.09
James Maddison,Leicester,26,AM(CLR),2468,12,8,3,0,2.1,0.807,0.1,6,7.06
Kostas Tsimikas,Liverpool,27,D(L),874,0,2,3,0,0.6,0.813,0.9,0,7.04
Caoimhín Kelleher,Liverpool,24,GK,180,0,0,0,0,0.0,0.897,0.5,0,7.02
Fabinho,Liverpool,29,"D(CR),DMC",2316,5,1,7,0,0.7,0.875,1.5,1,7.0
Jamie Vardy,Leicester,36,"AM(L),FW",1806,15,2,2,0,2.2,0.725,1.0,2,6.94
Wilfred Ndidi,Leicester,26,"D(C),DMC",1619,0,0,4,0,0.7,0.802,2.2,0,6.93
Ricardo Pereira,Leicester,29,"D(LR),M(R)",994,1,3,3,0,0.7,0.79,1.1,0,6.91
Neco Williams,Liverpool,22,"D(LR),M(LR)",7,0,1,0,0,0.0,1.0,0.0,0,6.9
Youri Tielemans,Leicester,26,M(C),2634,6,4,3,0,1.8,0.835,0.8,3,6.9
Ibrahima Konaté,Liverpool,24,D(C),990,0,0,2,0,0.4,0.8809999999999999,3.1,0,6.89
Alisson Becker,Liverpool,30,GK,3240,0,1,0,0,0.0,0.855,0.4,1,6.88
Wesley Fofana,Leicester,22,D(C),630,0,0,2,0,0.4,0.89,3.0,0,6.87
Jordan Henderson,Liverpool,33,"D(C),M(CLR)",2604,2,5,3,0,0.9,0.855,0.5,0,6.87
Curtis Jones,Liverpool,22,AM(CL),856,1,1,0,0,1.3,0.905,0.5,0,6.86
Roberto Firmino,Liverpool,31,"M(CLR),FW",987,5,4,3,0,1.5,0.7879999999999999,0.7,1,6.85
Naby Keïta,Liverpool,28,M(C),1175,3,1,3,0,1.1,0.86,0.3,0,6.79
Harvey Barnes,Leicester,25,AM(CL),2107,6,10,2,0,2.1,0.764,0.8,0,6.79
Jonny Evans,Leicester,35,D(CL),1350,1,1,3,0,0.2,0.8320000000000001,2.7,0,6.76
Çaglar Söyüncü,Leicester,27,D(C),2498,1,0,5,0,0.3,0.846,3.3,1,6.74
Kasper Schmeichel,Leicester,36,GK,3330,0,0,2,0,0.0,0.6970000000000001,0.3,2,6.73
Luke Thomas,Leicester,22,"D(L),M(L)",1912,0,1,2,0,0.2,0.8029999999999999,1.1,0,6.73
James Justin,Leicester,25,"D(CLR),M(LR)",997,0,0,0,0,0.4,0.8059999999999999,1.0,0,6.7
Timothy Castagne,Leicester,27,"D(CLR),M(LR)",2126,1,0,1,0,0.3,0.82,1.4,0,6.7
Kiernan Dewsbury Hall,Leicester,24,M(C),2106,1,2,4,0,0.8,0.812,0.6,1,6.66
Ademola Lookman,Leicester,25,"AM(CLR),FW",1459,6,0,2,0,1.0,0.7829999999999999,0.1,1,6.63
James Milner,Liverpool,37,"D(LR),M(CLR)",851,0,1,2,0,0.4,0.86,0.5,0,6.6
Divock Origi,Liverpool,28,"AM(LR),FW",127,3,0,0,0,1.4,0.757,0.3,0,6.6
Hamza Choudhury,Leicester,25,DMC,287,0,0,1,0,0.2,0.826,1.7,0,6.57
Harvey Elliott,Liverpool,20,AM(CR),346,0,0,0,0,1.7,0.8420000000000001,0.3,0,6.57
Joe Gomez,Liverpool,26,D(CLR),331,0,1,2,0,0.1,0.833,1.3,0,6.56
Alex Oxlade Chamberlain,Liverpool,29,M(CLR),787,2,1,0,0,1.2,0.823,0.3,0,6.55
Marc Albrighton,Leicester,33,"D(R),M(LR)",1128,1,2,3,0,0.2,0.672,0.2,0,6.54
Kelechi Iheanacho,Leicester,26,"AM(C),FW",1263,4,5,1,0,1.2,0.774,0.6,1,6.52
Daniel Amartey,Leicester,28,"D(CR),DMC",2120,0,0,4,0,0.1,0.907,1.2,0,6.45
Jannik Vestergaard,Leicester,31,D(C),564,0,0,2,0,0.1,0.889,1.3,0,6.44
Patson Daka,Leicester,24,FW,1163,5,3,2,0,1.1,0.745,0.7,0,6.44
Boubakary Soumaré,Leicester,24,DMC,1102,0,1,0,0,0.3,0.825,1.4,0,6.41
Takumi Minamino,Liverpool,28,"AM(CLR),FW",179,3,0,1,0,0.6,0.853,0.1,1,6.38
Ayoze Pérez,Leicester,30,"AM(CLR),FW",444,2,3,0,1,0.8,0.807,0.4,0,6.35
Nampalys Mendy,Leicester,31,M(C),1035,0,0,3,0,0.1,0.919,0.4,0,6.31
Tyler Morton,Liverpool,20,DMC,66,0,0,1,0,0.0,0.857,1.0,0,6.13
Lewis Brunt,Leicester,22,Midfielder,23,0,0,0,0,0.0,1.0,0.0,0,6.12
Ryan Bertrand,Leicester,34,"D(CL),M(L)",338,0,0,1,0,0.0,0.8140000000000001,0.3,0,6.1
Kaide Gordon,Liverpool,18,Forward,8,0,0,0,0,1.0,1.0,0.0,0,6.08
Kasey McAteer,Leicester,21,AM(CR),2,0,0,0,0,0.0,1.0,0.0,0,6.01
