name,team,number,position,min,goal,assist,yellow,red,shot,pass,aer,mom,rating
Kenedy,Chelsea,27,"D(L),M(LR)",59,0,1,0,0,1.0,0.7390000000000001,0.0,0,7.46
Ben Chilwell,Chelsea,26,"D(L),M(L)",541,3,1,0,0,1.9,0.83,1.0,1,7.42
Kristoffer Klaesson,Leeds,22,Goalkeeper,35,0,0,0,0,0.0,0.778,1.0,0,7.27
Reece James,Chelsea,23,"D(CR),DMC,M(R)",1868,5,9,4,1,1.4,0.8959999999999999,0.7,4,7.24
Mason Mount,Chelsea,24,M(CLR),2365,11,10,4,0,2.4,0.8540000000000001,0.2,7,7.19
Marcos Alonso,Chelsea,32,"D(CL),M(L)",2173,4,4,8,0,1.5,0.8109999999999999,1.4,1,7.1
Thiago Silva,Chelsea,38,D(C),2651,3,0,2,0,0.6,0.9279999999999999,1.8,1,7.08
Mateo Kovacic,Chelsea,29,M(CL),1557,2,5,4,0,0.9,0.888,0.2,1,7.05
Trevoh Chalobah,Chelsea,24,"D(CR),DMC",1451,3,1,2,0,0.5,0.9059999999999999,1.7,1,7.03
Kepa,Chelsea,28,GK,360,0,0,0,0,0.0,0.789,0.3,0,7.02
N 39 Golo Kanté,Chelsea,32,M(C),1778,2,4,2,0,0.7,0.867,0.5,2,7.01
Jorginho,Chelsea,31,DMC,2279,6,2,5,0,0.6,0.893,0.4,3,6.97
Raphinha,Leeds,26,"AM(LR),FW",2923,11,3,7,0,2.5,0.693,0.7,4,6.96
Hakim Ziyech,Chelsea,30,M(CLR),1317,4,3,3,0,2.3,0.812,0.6,3,6.92
Andreas Christensen,Chelsea,27,"D(C),DMC",1496,0,0,2,0,0.3,0.9,2.6,0,6.9
Ruben Loftus Cheek,Chelsea,27,M(CLR),1388,0,2,1,0,0.8,0.897,1.5,0,6.87
Antonio Rüdiger,Chelsea,30,D(CLR),3035,3,0,9,0,1.4,0.8809999999999999,1.6,0,6.87
Liam Cooper,Leeds,31,D(C),1815,0,1,5,0,0.3,0.831,3.9,0,6.86
Kai Havertz,Chelsea,24,"M(CR),FW",1816,8,3,3,0,1.9,0.813,1.3,1,6.85
César Azpilicueta,Chelsea,33,"D(CLR),M(R)",2075,1,2,3,0,0.4,0.857,1.7,0,6.82
Romelu Lukaku,Chelsea,30,"AM(R),FW",1586,8,0,1,0,1.7,0.7290000000000001,2.0,2,6.82
Ross Barkley,Chelsea,29,M(CLR),176,1,0,0,0,1.5,0.851,1.0,1,6.82
Stuart Dallas,Leeds,32,"D(LR),M(CLR)",2929,1,1,5,0,0.9,0.7879999999999999,0.9,3,6.78
Callum Hudson Odoi,Chelsea,22,M(CLR),966,1,2,1,0,1.2,0.853,0.3,0,6.77
Malang Sarr,Chelsea,24,D(CL),546,0,0,2,0,0.1,0.882,1.6,0,6.77
Leo Hjelde,Leeds,19,D(CL),148,0,0,0,0,0.0,0.688,1.5,0,6.7
Édouard Mendy,Chelsea,31,GK,3060,0,0,3,0,0.0,0.82,0.3,1,6.68
Christian Pulisic,Chelsea,24,"M(CLR),FW",1286,6,2,2,0,1.3,0.8029999999999999,0.5,1,6.67
Jack Harrison,Leeds,26,"AM(CLR),FW",2652,8,1,3,0,1.2,0.705,0.5,3,6.66
Illan Meslier,Leeds,23,GK,3385,0,0,2,0,0.0,0.69,0.4,0,6.62
Diego Llorente,Leeds,29,"D(C),DMC",2344,3,0,7,0,0.4,0.8140000000000001,1.8,1,6.59
Rodrigo,Leeds,32,"M(CLR),FW",2275,6,1,9,0,1.5,0.755,0.5,1,6.57
Kalvin Phillips,Leeds,27,"D(C),DMC",1596,0,1,4,0,0.8,0.82,0.9,0,6.57
Timo Werner,Chelsea,27,"AM(CLR),FW",1286,4,1,1,0,2.1,0.782,0.3,0,6.52
Junior Firpo,Leeds,26,"D(L),M(L)",1716,0,2,11,0,0.5,0.8140000000000001,1.1,0,6.49
Saúl Ñíguez,Chelsea,28,"D(CL),M(CLR)",480,0,0,1,0,0.5,0.889,0.8,0,6.49
Luke Ayling,Leeds,31,"D(CR),M(R)",2275,2,2,4,1,0.7,0.774,1.3,0,6.49
Patrick Bamford,Leeds,29,"AM(CLR),FW",560,2,2,2,0,2.2,0.8170000000000001,0.6,0,6.46
Jamie Shackleton,Leeds,23,"D(R),DMC,M(R)",709,0,0,4,0,0.3,0.8640000000000001,0.4,0,6.45
Daniel James,Leeds,25,"AM(CLR),FW",2368,4,4,7,1,1.6,0.7170000000000001,0.4,0,6.44
Mateusz Klich,Leeds,33,M(CL),2095,1,2,5,0,1.3,0.799,0.2,0,6.37
Pascal Struijk,Leeds,24,"D(CL),DMC",2053,1,0,6,1,0.4,0.852,1.4,0,6.36
Robin Koch,Leeds,27,"D(C),DMC",1575,0,0,3,0,0.7,0.774,2.3,0,6.35
Sam Greenwood,Leeds,21,M(C),232,0,2,0,0,0.6,0.74,0.3,0,6.34
Adam Forshaw,Leeds,31,M(C),1530,0,1,5,0,0.6,0.835,0.5,0,6.33
