name,team,number,position,min,goal,assist,yellow,red,shot,pass,aer,mom,rating
Kevin De Bruyne,Man City,32,"M(CLR),FW",2205,15,8,2,0,2.6,0.825,0.4,4,7.63
Rodri,Man City,27,"D(C),DMC",2887,7,2,5,0,1.4,0.9179999999999999,2.6,4,7.43
João Cancelo,Man City,29,"D(LR),M(R)",3228,1,7,7,0,2.3,0.853,1.6,5,7.42
Phil Foden,Man City,23,"AM(CLR),FW",2133,9,5,1,0,2.0,0.8740000000000001,0.2,1,7.29
Bernardo Silva,Man City,29,"M(CLR),FW",2861,8,4,6,0,1.3,0.8959999999999999,0.2,3,7.27
Ilkay Gündogan,Man City,32,M(C),1856,8,4,1,0,2.0,0.912,0.4,1,7.24
Ferran Torres,Man City,23,"AM(LR),FW",305,2,1,0,0,3.3,0.7709999999999999,1.0,1,7.23
Raheem Sterling,Man City,28,"M(CLR),FW",2127,13,5,1,0,1.9,0.8540000000000001,0.1,4,7.2
Gabriel Jesus,Man City,26,"AM(LR),FW",1880,8,8,1,0,2.3,0.848,0.8,6,7.19
Jack Grealish,Man City,27,"AM(CL),FW",1917,3,3,3,0,1.7,0.884,0.5,0,7.16
Zack Steffen,Man City,28,GK,90,0,0,0,0,0.0,0.848,0.0,0,7.16
John Stones,Man City,29,"D(CR),DMC",1118,1,0,0,0,0.6,0.915,3.4,0,7.1
Oleksandr Zinchenko,Man City,26,"D(L),M(CLR)",1045,0,4,0,0,0.8,0.907,1.0,0,7.05
James Ward Prowse,Southampton,28,M(CR),3217,10,5,3,1,1.5,0.863,0.8,4,7.01
Riyad Mahrez,Man City,32,"AM(CLR),FW",1493,11,5,0,0,2.2,0.9,0.3,2,7.0
Rúben Dias,Man City,26,D(C),2404,2,4,5,0,0.6,0.934,1.8,1,6.95
Nathan Aké,Man City,28,"D(CL),DMC",921,2,0,0,0,0.4,0.9079999999999999,2.6,0,6.92
Aymeric Laporte,Man City,29,D(CL),2836,4,0,5,1,1.1,0.948,1.6,0,6.9
Oriol Romeu,Southampton,31,DMC,2899,2,2,9,0,0.7,0.82,1.9,2,6.87
Kyle Walker Peters,Southampton,26,"D(LR),M(R)",2632,1,2,5,0,0.8,0.813,0.8,3,6.84
Mohammed Salisu,Southampton,24,D(CL),2972,0,0,8,1,0.7,0.779,3.0,3,6.82
Jan Bednarek,Southampton,27,D(C),2633,4,0,10,0,0.6,0.8170000000000001,2.9,2,6.81
Tino Livramento,Southampton,20,D(R),2203,1,1,2,0,0.4,0.7859999999999999,0.9,1,6.73
Ché Adams,Southampton,27,"AM(CL),FW",2043,7,3,0,0,1.6,0.657,2.1,1,6.72
Kyle Walker,Man City,33,"D(CR),M(R)",1756,0,2,1,0,0.4,0.903,1.0,0,6.72
Fraser Forster,Southampton,35,GK,1710,0,0,1,0,0.0,0.547,0.4,1,6.71
Fernandinho,Man City,38,"D(CR),DMC",960,2,1,1,0,0.9,0.888,1.2,0,6.7
Ederson,Man City,29,GK,3330,0,0,3,0,0.0,0.888,0.3,0,6.69
Alex McCarthy,Southampton,33,GK,1530,0,0,1,0,0.0,0.565,0.4,0,6.63
Mohamed Elyounoussi,Southampton,29,"AM(CLR),FW",2046,4,2,4,0,1.4,0.7070000000000001,1.3,0,6.62
Benjamin Mendy,Man City,29,"D(L),DMC,M(L)",79,0,0,0,0,0.0,0.922,0.0,0,6.6
Nathan Redmond,Southampton,29,"AM(CLR),FW",1834,1,5,0,0,1.0,0.731,0.5,1,6.6
Armando Broja,Southampton,21,FW,1981,6,0,2,0,1.4,0.614,2.8,1,6.59
Yan Valery,Southampton,24,"D(CR),M(R)",369,0,0,0,0,0.4,0.727,2.2,0,6.57
Stuart Armstrong,Southampton,31,AM(CLR),1470,2,0,1,0,1.5,0.8190000000000001,0.2,0,6.51
Jack Stephens,Southampton,29,D(CR),811,0,0,3,0,0.0,0.774,1.2,0,6.5
Liam Delap,Man City,20,FW,9,0,0,0,0,0.0,1.0,0.0,0,6.49
Cole Palmer,Man City,21,AM(C),122,0,0,0,0,1.0,0.902,0.5,0,6.43
Romain Perraud,Southampton,25,"D(L),M(L)",1625,0,1,3,0,1.0,0.706,0.8,0,6.41
Ibrahima Diallo,Southampton,24,DMC,1019,0,2,1,0,0.3,0.8059999999999999,0.5,0,6.38
CJ Egan Riley,Man City,20,"D(R),DMC",3,0,0,0,0,0.0,1.0,0.0,0,6.38
Adam Armstrong,Southampton,26,"AM(CLR),FW",1415,2,2,1,0,2.0,0.7490000000000001,0.6,1,6.38
Lyanco,Southampton,26,D(CR),906,0,0,2,0,0.4,0.722,1.3,0,6.37
Shane Long,Southampton,36,"AM(LR),FW",303,1,0,1,0,0.7,0.606,1.8,0,6.33
Nathan Tella,Southampton,24,"AM(CLR),FW",811,0,1,2,0,0.9,0.621,0.4,0,6.25
Willy Caballero,Southampton,41,GK,180,0,0,1,0,0.0,0.617,0.0,0,6.25
Will Smallbone,Southampton,23,AM(CR),134,0,0,0,0,0.3,0.5760000000000001,0.3,0,6.19
Moussa Djenepo,Southampton,25,M(LR),455,0,0,3,0,0.9,0.757,0.2,0,6.18
James McAtee,Man City,20,AM(C),19,0,0,0,0,0.5,0.6920000000000001,0.5,0,6.13
Kayky,Man City,20,AM(R),6,0,0,0,0,0.0,1.0,0.0,0,6.09
Theo Walcott,Southampton,34,"M(CLR),FW",381,0,0,0,0,0.7,0.716,0.4,0,6.09
