name,team,number,position,min,goal,assist,yellow,red,shot,pass,aer,mom,rating
Danny Ward,Leicester,30,GK,90,0,0,0,0,0.0,0.88,0.0,0,7.25
Jarrod Bowen,West Ham,26,"AM(CLR),FW",2993,12,10,6,0,2.2,0.762,1.1,4,7.14
Declan Rice,West Ham,24,"D(C),DMC",3178,1,4,8,0,0.7,0.9159999999999999,1.2,1,7.1
James Maddison,Leicester,26,AM(CLR),2468,12,8,3,0,2.1,0.807,0.1,6,7.06
Tomás Soucek,West Ham,28,DMC,3062,5,1,3,0,1.3,0.7659999999999999,3.8,1,6.97
Jamie Vardy,Leicester,36,"AM(L),FW",1806,15,2,2,0,2.2,0.725,1.0,2,6.94
Wilfred Ndidi,Leicester,26,"D(C),DMC",1619,0,0,4,0,0.7,0.802,2.2,0,6.93
Michail Antonio,West Ham,33,"D(R),M(CLR),FW",2981,10,8,6,1,2.3,0.675,2.2,2,6.92
Ricardo Pereira,Leicester,29,"D(LR),M(R)",994,1,3,3,0,0.7,0.79,1.1,0,6.91
Youri Tielemans,Leicester,26,M(C),2634,6,4,3,0,1.8,0.835,0.8,3,6.9
Wesley Fofana,Leicester,22,D(C),630,0,0,2,0,0.4,0.89,3.0,0,6.87
Saïd Benrahma,West Ham,28,AM(CLR),2184,8,6,0,0,2.0,0.8109999999999999,0.3,2,6.86
Pablo Fornals,West Ham,27,M(CLR),2804,6,3,4,0,1.2,0.7809999999999999,0.6,2,6.8
Harvey Barnes,Leicester,25,AM(CL),2107,6,10,2,0,2.1,0.764,0.8,0,6.79
Lukasz Fabianski,West Ham,38,GK,3330,0,0,2,0,0.0,0.5920000000000001,0.3,1,6.76
Jonny Evans,Leicester,35,D(CL),1350,1,1,3,0,0.2,0.8320000000000001,2.7,0,6.76
Aaron Cresswell,West Ham,33,"D(CL),M(L)",2728,2,3,3,0,0.6,0.826,1.0,0,6.75
Kurt Zouma,West Ham,28,D(CR),2080,1,0,1,0,0.3,0.877,2.1,0,6.74
Çaglar Söyüncü,Leicester,27,D(C),2498,1,0,5,0,0.3,0.846,3.3,1,6.74
Kasper Schmeichel,Leicester,36,GK,3330,0,0,2,0,0.0,0.6970000000000001,0.3,2,6.73
