,min,goal,assist,pass,aer,mom,rating,name,team,shot
0,18,0,0,0.9,0.0,0,5.95,Máximo Perrone,Man City,0.0
1,6,0,0,1.0,0.0,0,5.94,Kamari Doyle,Southampton,0.0
2,8,0,0,0.667,0.0,0,5.89,Owen Bevan,Bournemouth,0.0
3,12,0,0,0.8,0.3,0,5.89,Nathaniel Chalobah,Fulham,0.3
4,22,0,0,0.818,0.0,0,5.88,Dexter Lembikisa,Wolves,0.0
5,5,0,0,0.75,1.0,0,5.85,Cameron Peupion,Brighton,1.0
6,11,0,0,0.5,0.0,0,5.83,Andrew Moran,Brighton,0.0
7,17,0,0,0.8,0.4,0,5.79,Shane Duffy,Fulham,0.2
8,46,0,0,0.682,1.0,0,5.74,Yan Valery,Southampton,0.0
